"Gene","waldStat","df","pvalue","FDR"
"icn",174.511651245433,5,0,0
"zgc:153409",166.120871887205,5,0,0
"meox1",116.549020637935,5,0,0
"hapln3",113.110465057144,5,0,0
"si:dkey-251i10.2",111.417393947057,5,0,0
"ptn",107.165763395019,5,0,0
"gpm6ab",90.7724920907928,5,0,0
"bmp6",85.7041075680155,5,0,0
"rgcc",81.9526391943135,5,3.33066907387547e-16,7.35707790984937e-14
"nfatc1",74.4683250368435,5,1.19904086659517e-14,2.3836932427912e-12
"snrpd1",70.4610767522369,5,8.21565038222616e-14,1.48479208726051e-11
"tshz2",65.9030678728006,5,7.27973237246715e-13,1.20600899637206e-10
"loxl1",64.5803543254502,5,1.36946010087513e-12,2.09422052349212e-10
"snrpe",62.1890649612735,5,4.28534985275064e-12,5.83460420718514e-10
"lyve1a",62.1325317733152,5,4.40236735954613e-12,5.83460420718514e-10
"cdh6",60.7225741180116,5,8.617440094838e-12,1.03802310537931e-09
"dut",60.6603646439405,5,8.87645512648305e-12,1.03802310537931e-09
"pclaf",57.9121774246436,5,3.27945448574951e-11,3.62197528759446e-09
"kif26ab",56.2222950581152,5,7.31352756133674e-11,7.6522593641776e-09
"tmem169a",53.8863316486494,5,2.21164309088806e-10,2.19837323234273e-08
"kif26aa",53.7366615581092,5,2.37393993351986e-10,2.24732980373214e-08
"tubb2b",53.0472895729747,5,3.28899019130802e-10,2.97205113650924e-08
"ace",52.3687825181345,5,4.53236004283042e-10,3.91753555006386e-08
"cycsb",52.0389581259298,5,5.29643329194585e-10,4.38721224349514e-08
"nkain4",51.5848512767584,5,6.56293130951724e-10,5.21884297732811e-08
"cebpb",47.2715199057669,5,5.0014677954735e-09,3.82419922207743e-07
"hspd1",46.3483692319622,5,7.71340347149874e-09,5.67935040790351e-07
"pcna",45.3912694906065,5,1.2079905298279e-08,8.57673276177806e-07
"svild",45.1959469836401,5,1.3236988061216e-08,9.07418353989565e-07
"aqp1a.1",44.500315883174,5,1.83306972934005e-08,1.21471420730934e-06
"arid5b",44.2935884076058,5,2.01915353326143e-08,1.29486362068507e-06
"nhsl2",44.0557211177738,5,2.25667367015348e-08,1.40195851758285e-06
"ch25h",43.8441874811132,5,2.4911881557621e-08,1.50075213747123e-06
"sema3d",43.2683276816113,5,3.26006249773414e-08,1.90617771926337e-06
"cldn11a",42.9025885063204,5,3.86692420306645e-08,2.19641294734174e-06
"tmeff2a",42.4370711317374,5,4.80473242303603e-08,2.65328001583212e-06
