"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"nr2f5",457.070821661053,8,0,0,2.42752296076886
"nap1l1",448.501467834037,8,0,0,0.421465741937169
"mycn",448.492743156727,8,0,0,0.974509311841586
"atrnl1a",446.488691923029,8,0,0,2.23234529107655
"CU929160.1",439.355834924425,8,0,0,2.19058423560375
"cthrc1a",437.81077618985,8,0,0,1.96040889387269
"adam12",436.362244167937,8,0,0,0.574203823219168
"crip2",434.378817229236,8,0,0,1.21261510058605
"postnb",433.767362059455,8,0,0,1.8076872058848
"nasp",423.709849879181,8,0,0,0.663083260605244
"meis2a.1",423.352850061828,8,0,0,1.65401759518614
"cycsb",422.85183340668,8,0,0,0.670055423793388
"cyp26b1",419.907314269372,8,0,0,0.93771435139963
"cgnl1",419.50080547052,8,0,0,0.464246925817427
"si:ch73-281n10.2",417.081227693475,8,0,0,0.584495518311206
"si:ch211-250c4.4",417.022341120323,8,0,0,1.8934898237629
"itga9",416.39820097784,8,0,0,0.802561969428785
"hmgb2b",416.247973615718,8,0,0,0.3626356201796
"sumo3b",416.014355877319,8,0,0,0.59466363178929
"lbr",415.681665924204,8,0,0,0.767435338035766
"UNC13B",415.102413809243,8,0,0,1.19784715988904
"hs6st3a",411.760072811744,8,0,0,4.09318927346392
"st6gal2a",409.931015426456,8,0,0,0.848466993580447
"hist1h4l.6",409.734722841576,8,0,0,0.727056099004528
"pa2g4b",408.867488621108,8,0,0,0.553483924934668
"zfpm2b",408.795020243126,8,0,0,1.33776681027864
"tcf12",408.518630508587,8,0,0,0.495737352422645
"kcnn1a",405.341253190909,8,0,0,1.78955945226748
"sox6",403.029070995038,8,0,0,1.93332108486353
"baz1b",399.979552260085,8,0,0,0.532591715703684
"nr5a2",399.600976205853,8,0,0,0.868336987647814
"pmp22b",398.95416513824,8,0,0,0.543145318211917
"tmem59l",398.540341456083,8,0,0,1.61301084101158
"strbp",398.097370859137,8,0,0,0.697383404205431
"cyp1a",393.388941717788,8,0,0,1.95061780366459
"snu13b",392.624281445158,8,0,0,0.597993688236113
"CABZ01066694.1",391.68896576674,8,0,0,1.05339754676181
"msna",390.934080332379,8,0,0,0.555630298625822
"glula",388.950816830559,8,0,0,1.52121983765963
"prmt1",381.099822229693,8,0,0,0.619143598272031
"ssrp1a",379.589903472861,8,0,0,0.572158373716253
"pa2g4a",373.960131936421,8,0,0,0.586062867931931
"bcl11aa",373.872064133819,8,0,0,1.22003309175295
"cnbpa",373.074104859352,8,0,0,0.472648082607864
"itga5",372.840847320009,8,0,0,0.553868825288435
"gdpd5b",372.788135981488,8,0,0,2.07381560698146
"galnt1",367.434840362164,8,0,0,0.783678947886716
"CR848683.2",366.809884394505,8,0,0,0.843024525137852
"bmpr1ab",364.58003658403,8,0,0,2.76833804135744
"tmem108",363.796747335288,8,0,0,0.652755115668164
"fabp3",363.110292971861,8,0,0,1.22573432090844
"prex2",362.722256376757,8,0,0,0.720135794072718
"prex1",362.698907417029,8,0,0,1.0704353756756
"eif3s10",362.384322523993,8,0,0,0.46948413907209
"hoxb8a",361.490836084715,8,0,0,2.1160016006487
"nop56",361.307325641223,8,0,0,0.468266385816234
"si:ch211-227m13.1",360.804847685037,8,0,0,2.01267185771117
"myo6b",359.91115878633,8,0,0,0.927617192657125
"nop58",359.736478638646,8,0,0,0.56778455165467
"g3bp1",354.804210183115,8,0,0,0.573882131133254
"plecb",353.390348699257,8,0,0,0.505447369484829
"hs6st1b",350.815458285881,8,0,0,1.68367391387957
"hmgb1b",349.972625888184,8,0,0,0.429364476048194
"jmjd1cb",347.188792940245,8,0,0,0.413368961545938
"pdzrn3b",346.492081406425,8,0,0,0.72129002386531
"spock3",343.471157269481,8,0,0,0.569104074563835
"diaph3",343.287314413364,8,0,0,1.8858233252822
"pknox2",342.948640428652,8,0,0,1.39124037954073
"kdm6bb",342.531487616344,8,0,0,0.503275454075634
"zgc:153409",340.554966332148,8,0,0,0.834191424702622
"efnb3b",339.661826478581,8,0,0,1.67129654864644
"nutf2l",339.501008557386,8,0,0,0.450455497835163
"etf1b",338.643230728229,8,0,0,0.477155561311752
"elk3",338.188056006595,8,0,0,0.75656786118544
"iqgap1",337.160919847032,8,0,0,0.353045144915208
"pdzd2",336.586951329165,8,0,0,1.10870615178385
"dkc1",335.264802569756,8,0,0,0.608501696583039
"nhp2",335.23188938506,8,0,0,0.575793770364914
"eif4g1a",334.502904955755,8,0,0,0.438482981249299
"fhl3a",332.982033857714,8,0,0,1.10863978622547
"pappab",332.971681096961,8,0,0,1.27353478315201
"atrx",331.73179796159,8,0,0,0.31119531398347
"hmgb2a",331.156402029239,8,0,0,0.440753049451747
"ipo7",329.469633387168,8,0,0,0.452323133661584
"fbl",328.792919749987,8,0,0,0.630228996455851
"aqp1a.1",326.274473542838,8,0,0,2.09268187248128
"cldn5b",325.007252398673,8,0,0,0.343639330615674
"si:dkey-108k21.10",323.437315880543,8,0,0,0.904572037261938
"kif26aa",321.874664235716,8,0,0,2.62617453547871
"tuba8l",319.565678336732,8,0,0,0.427749806666359
"rrm1",319.299846530034,8,0,0,0.613300105638582
"lpar1",319.008867753706,8,0,0,0.632614933192941
"lef1",318.251567201493,8,0,0,2.17142604285054
"glulb",316.612856385143,8,0,0,1.25930567564403
"gata4",316.567843923711,8,0,0,3.23920444665089
"mki67",316.0509870474,8,0,0,1.17568540826714
"meis1b",316.002248870156,8,0,0,1.44227445299886
"glceb",315.898204193952,8,0,0,1.48150304596353
"h2ax",315.535109427892,8,0,0,0.552004205190918
"tubb5",312.12507729719,8,0,0,0.646269335114569
"gars1",310.972904769904,8,0,0,0.499700173127008
"smarca4a",310.628283845872,8,0,0,0.386707807865155
"banf1",310.291172698132,8,0,0,0.39353521398498
"tenm4",309.962781752531,8,0,0,1.46263495865992
"smc2",307.33944151807,8,0,0,1.06376925438406
"tlx2",306.699761685623,8,0,0,3.00859719056378
"jarid2b",306.41905452268,8,0,0,0.713502234010334
"ppm1g",305.571737634105,8,0,0,0.530361160466126
"erfl3",301.949355855578,8,0,0,0.543095734562045
"mtss1lb",301.619779883591,8,0,0,1.56977818725981
"cav1",301.268747787007,8,0,0,0.942893652856901
"parp1",300.550806947948,8,0,0,0.703466253777802
"nop10",300.490399450016,8,0,0,0.626693567180336
"smap1",300.407495336817,8,0,0,0.535126152549442
"psd2",299.903014332247,8,0,0,0.663741164165548
"ahcy",299.703304412073,8,0,0,0.736180023724224
"npl",298.800670205697,8,0,0,1.59761928731893
"nectin1b",297.095615830385,8,0,0,0.937887587425384
"sema4c",294.550019763308,8,0,0,0.717817722513701
"ap1s3b",293.343185509576,8,0,0,2.19668597378008
"gpc6a",293.054501041194,8,0,0,2.07951725710072
"si:ch211-156b7.4",292.714928395101,8,0,0,0.609615085633324
"CABZ01086877.1",292.713309291786,8,0,0,2.54598307801516
"CABZ01075125.1",292.704050347258,8,0,0,1.65513402855997
"hspe1",292.6393259972,8,0,0,0.537558554994674
"hspd1",288.875815672272,8,0,0,0.521207993647688
"mibp",288.119463286203,8,0,0,0.991072904722183
"med6",287.406886495045,8,0,0,2.28374541044631
"dut",284.830476319308,8,0,0,0.489231531229838
"ssb",283.637096992746,8,0,0,0.685698105544661
"arid5b",282.151971713586,8,0,0,1.48268523324284
"eppk1",280.607688520063,8,0,0,0.921323106790343
"meox2a",279.545642077261,8,0,0,1.74920709087111
"fabp11a",278.177921152863,8,0,0,0.713769549198986
"bach2b",277.365077967175,8,0,0,0.703096370842389
"CABZ01058261.1",276.942806605738,8,0,0,0.937392740432208
"c1qbp",275.637196632291,8,0,0,0.598754578534095
"tcima",274.690991415648,8,0,0,1.41093966772848
"cpeb3",274.136318512886,8,0,0,0.966323323883589
"ube2c",274.123923908396,8,0,0,1.50833782515072
"adarb1b",273.698326703936,8,0,0,0.526812676365052
"ccn2a",270.574322817335,8,0,0,1.86912985460388
"si:ch211-288g17.3",269.876293872027,8,0,0,0.337248650217093
"smarca5",269.719112769122,8,0,0,0.576415840643524
"fen1",269.487589554539,8,0,0,0.605582982185892
"supt16h",269.213797246683,8,0,0,0.480074133374768
"zmiz1a",268.835273870764,8,0,0,0.566305288708014
"top2a",267.99762761319,8,0,0,1.18892830134326
"icn",267.786255963639,8,0,0,2.76386920356187
"fam169aa",265.719364861916,8,0,0,2.79412648531654
"fgf10b",264.907243377445,8,0,0,2.17245703814143
"coro2ba",263.557763540117,8,0,0,0.884551110050715
"wnt11",262.662708087181,8,0,0,2.74405201147355
"her6",262.397104608537,8,0,0,2.24553801927383
"osbpl10b",260.983217127847,8,0,0,1.78239599045153
"si:ch211-152c2.3",259.715146294902,8,0,0,2.4584584750264
"nop2",259.495078789796,8,0,0,0.681459904360497
"got2b",259.230859529948,8,0,0,0.843155982597474
"adka",259.034022240739,8,0,0,0.457412856115714
"exoc3l2b",258.582087832666,8,0,0,0.68585913111269
"ncapd2",257.704373386202,8,0,0,1.09617711604724
"BX284638.2",257.033306936688,8,0,0,0.397321660950339
"sox11a",255.977520752129,8,0,0,1.03669259607406
"kpna2",254.56551481038,8,0,0,1.50724273078409
"si:dkey-261m9.12",253.631738455839,8,0,0,1.03905446273591
"angpt1",253.5208298987,8,0,0,3.85558197552457
"rbms3",253.513158670282,8,0,0,0.743340726723992
"cdk1",252.635111385102,8,0,0,1.40228893109191
"smc4",252.386211296533,8,0,0,0.871620200822532
"SIPA1",252.345453107056,8,0,0,1.17482820423494
"hist1h2a6",252.267755062634,8,0,0,0.997941566710051
"CHST8",252.054800306835,8,0,0,1.17457848623047
"nfia",250.124271982902,8,0,0,0.659261601689597
"asf1ba",249.444240387267,8,0,0,0.857500472204775
"chl1a",247.773420355912,8,0,0,2.84933501961786
"abce1",246.659660608528,8,0,0,0.648106115448442
"peak1",246.25162412144,8,0,0,0.762649843761245
"dek",245.520326213324,8,0,0,0.587618893195395
"tuba1b",244.435892307976,8,0,0,0.748262299049265
"kcnq5b",242.584911589249,8,0,0,1.37818991301046
"mcm6",242.328077794048,8,0,0,0.560237498966152
"mad2l1",242.131565456429,8,0,0,1.47692316799578
"CABZ01005379.1",242.002460402901,8,0,0,0.626471355458622
"lig1",241.644178035357,8,0,0,0.54698374501581
"pcdh17",241.247097635901,8,0,0,0.463606392834238
"kif20a",240.878978806907,8,0,0,1.96118211608088
"si:ch73-22o12.1",238.919231691321,8,0,0,0.374369666498993
"srrt",238.775372114998,8,0,0,0.486308766638418
"si:ch211-107n13.1",238.396011210929,8,0,0,0.715417265586155
"itga8",238.368683764031,8,0,0,2.12843623689593
"si:ch211-113a14.19.2",238.147032182669,8,0,0,0.886344500594061
"tiparp",238.135631040797,8,0,0,0.924010769242717
"bcl6b",237.356741034839,8,0,0,0.441371141212129
"gadd45ab",235.880011457873,8,0,0,1.21487847580406
"colec12",235.831128835736,8,0,0,0.849908005459408
"zfpm2a",235.357199804117,8,0,0,0.641106447726001
"si:ch211-113a14.12",234.86624663815,8,0,0,0.671560550801388
"hirip3",234.70170054711,8,0,0,0.711978485428485
"pxdn",234.690003728246,8,0,0,1.19968147756664
"zgc:173552.3",232.936522586461,8,0,0,0.850109722889935
"gli2a",232.876699836321,8,0,0,0.595246586813999
"atp8a1",232.511638465533,8,0,0,1.275293912114
"nav2a",232.396354592259,8,0,0,1.28693292781819
"si:ch211-51a6.2",232.263027725095,8,0,0,2.68386255244961
"arpp19b",231.951302059048,8,0,0,0.543192216533317
"lhfpl6",231.490682396421,8,0,0,1.55213206997737
"mical2a",231.072271623363,8,0,0,0.576826581640301
"nrp2b",230.991651554206,8,0,0,0.283599809464511
"mybbp1a",230.808577126109,8,0,0,0.613298050988166
"dlgap5",230.677973651754,8,0,0,1.07787993120606
"myo1b",230.38758937036,8,0,0,0.458800950118245
"hist2h2l",230.029387790449,8,0,0,0.730440614939746
"zgc:110540",229.91693798278,8,0,0,0.939481007303763
"mmrn2a",229.860647756201,8,0,0,0.970430045856094
"eya2",228.339770827499,8,0,0,0.699886142374236
"traf4a",227.823665645707,8,0,0,0.996895217374407
"CR936977.2",227.304786090268,8,0,0,0.649892342126535
"nkd2a",225.195920920912,8,0,0,2.10618843654012
"rrm2.1",224.988878453864,8,0,0,0.69254480112135
"si:ch211-113a14.18",224.804023167472,8,0,0,1.03981529226127
"itga4",224.19685498956,8,0,0,0.997220628013843
"slbp",224.096492013209,8,0,0,0.621618757458458
"dgkg",223.789318820056,8,0,0,2.11013713508393
"prim2",223.363953955035,8,0,0,0.659511683269768
"cyp1c1",223.164252959607,8,0,0,3.59128607195686
"wwtr1",222.723126774518,8,0,0,0.413476257438349
"grin2bb",222.502648756646,8,0,0,2.43355639608993
"cenpf",222.344679057107,8,0,0,1.38941118906245
"ccna2",221.660018776457,8,0,0,1.39828712217567
"enpp1",221.030165583711,8,0,0,0.559134468772582
"rcn3",219.76390045945,8,0,0,0.315221237633267
"cdca5",219.755546418042,8,0,0,1.28910102585865
"DOCK9",219.293724291588,8,0,0,1.36866744662113
"tpx2",218.922864933613,8,0,0,1.34116872533569
"LO017938.1",218.922133345436,8,0,0,1.17858886402808
"ctcf",218.881198727715,8,0,0,0.533432258409167
"hist1h4l.20",218.747264310891,8,0,0,0.902697678229479
"rrm2",216.187716871816,8,0,0,0.750355450491866
"ccdc80l2",215.025234110593,8,0,0,3.67234175005272
"dnmt1",212.970778897453,8,0,0,0.584095475756478
"cks1b",212.567178193434,8,0,0,0.974065946437369
"dhfr",212.146022358362,8,0,0,0.827141649520655
"epas1b",211.825234374974,8,0,0,1.02338693026197
"si:ch211-208k15.1",211.382864398806,8,0,0,1.85714740621603
"dhrs3b",211.334989574959,8,0,0,1.98561491404025
"gnl3",208.980359838266,8,0,0,0.62492345311722
"dll4",207.901622099435,8,0,0,0.749346027591465
"MAGI3",207.805116861005,8,0,0,0.667358494277126
"mcm2",207.666076240749,8,0,0,0.485993720213042
"tiam1a",207.388579741722,8,0,0,2.10941643951844
"hapln3",207.184020462057,8,0,0,1.07979886671123
"bub3",206.495393782507,8,0,0,0.659554935166773
"kif26ab",206.481932667693,8,0,0,0.792693766315637
"plxna2",205.800205496955,8,0,0,0.454660305359443
"sema3fa",205.027482122368,8,0,0,1.21270612346341
"diaph2",204.949566757776,8,0,0,0.575839111735369
"aurkb",204.695778188103,8,0,0,0.865445713185862
"nifk",204.2200200912,8,0,0,0.636569297799493
"col8a2",204.184496914765,8,0,0,1.36855906467566
"pbx1b",204.022484572148,8,0,0,1.09017370069622
"aspm",203.992612066406,8,0,0,1.53195507445364
"plk1",203.226539360302,8,0,0,1.35024690482612
"spsb4a",202.411467508851,8,0,0,0.487481671504337
"ruvbl1",201.704678009013,8,0,0,0.583028293357864
"tgfbr3",201.464518200371,8,0,0,1.18837385225438
"bmp1a",201.01357545583,8,0,0,0.516104439636369
"adam8a",200.918690935128,8,0,0,1.26045104005183
"adgra2",200.862146878688,8,0,0,0.398935053965634
"hells",200.688475108155,8,0,0,0.561214077686774
"nhsl1b",200.175504310287,8,0,0,0.495368148549168
"si:ch73-364h19.1",199.836003122976,8,0,0,1.27967068733534
"si:ch211-161h7.4",199.31066214229,8,0,0,0.727083029736359
"samd11",199.134225232974,8,0,0,0.598694597143262
"mcm3",197.671311534123,8,0,0,0.585920397644406
"ptprga",197.586434390959,8,0,0,0.386168569461534
"col4a1",197.566146907225,8,0,0,0.823887252377839
"cebpd",196.883028210554,8,0,0,0.878141920619123
"si:ch211-69g19.2",196.877775606164,8,0,0,2.31885433732083
"si:ch211-119e14.1",196.51976580567,8,0,0,2.3109343701297
"si:ch211-147k10.5",196.415618983146,8,0,0,1.02226295804781
"hdac4",196.325807189925,8,0,0,0.486338720692223
"klf6a",196.062838924869,8,0,0,0.33480010761527
"rgs3b",195.533046350312,8,0,0,0.580026666110001
"hspa5",195.427925584475,8,0,0,0.384686851586545
"esco2",195.184514948055,8,0,0,1.11952456618461
"arhgap27",193.742322752041,8,0,0,2.58339293145332
"zgc:153405",193.545586963103,8,0,0,1.06693466561789
"thbs1b",193.517043840983,8,0,0,0.857941890533791
"lyar",193.495747379896,8,0,0,0.585353160446795
"mprip",193.292871448478,8,0,0,0.619896154916585
"nuf2",193.091397613831,8,0,0,1.93029985934818
"MAN1C1",192.510921643532,8,0,0,1.31542134195381
"pola1",191.323906937496,8,0,0,0.54491788158315
"atad2",191.287617053329,8,0,0,0.673139599322817
"sinhcafl.1",190.944107073674,8,0,0,0.601392389132581
"kpnb3",190.710807101679,8,0,0,0.436336769452279
"zgc:110425",190.534496522038,8,0,0,0.527354622729176
"si:dkey-108k21.21",190.137686971643,8,0,0,0.875315407734916
"atf3",189.603621392585,8,0,0,0.716319121554351
"si:ch211-113a14.24",189.006803590727,8,0,0,0.996822281866623
"ttk",187.896498829652,8,0,0,1.21803561373652
"aopep",187.854540988631,8,0,0,0.663188725421246
"kif11",187.517861664935,8,0,0,1.51628151710315
"fam110b",186.974747874417,8,0,0,1.87532906608338
"hspa9",186.426012004858,8,0,0,0.48765834060655
"mcm5",186.218157905617,8,0,0,0.531484201909105
"ncapg",185.789424835568,8,0,0,0.882675638114809
"lrrc15",184.737917895709,8,0,0,2.38678285145967
"zgc:194989",184.54595938292,8,0,0,0.578190292364501
"hk1",184.353143267137,8,0,0,0.816234397565214
"pold1",184.310233369986,8,0,0,0.653668975214522
"col4a2",183.999719052238,8,0,0,0.580202713350666
"igfbp2a",183.531198198985,8,0,0,3.92671038059074
"UTP14C",183.12005552008,8,0,0,0.608092264288654
"sh3gl3a",182.959963390136,8,0,0,0.729439032207965
"zgc:194398",182.890702027852,8,0,0,2.53880828966142
"kifc1",182.1297373607,8,0,0,2.06618106559111
"ace",182.050830954335,8,0,0,1.99770729142281
"oaz2a",181.771423747752,8,0,0,0.615047421875416
"cd82a",180.905573349617,8,0,0,1.42772681121544
"cd81b",179.486908258238,8,0,0,0.729090897473708
"bms1",179.201347124525,8,0,0,0.65631557061625
"jupb",179.189072341064,8,0,0,1.13543996951785
"dnajc9",178.497938585854,8,0,0,0.503867717269668
"cenpe",178.262154345455,8,0,0,1.66104004160088
"zeb1b",176.84577001869,8,0,0,0.740157701369312
"creb5b",176.692189781321,8,0,0,0.956715265416461
"slco2b1",176.620643175771,8,0,0,4.10522379771177
"hmmr",176.575573741122,8,0,0,2.58414564711629
"flt1",176.419256003558,8,0,0,0.878173692029644
"ctdp1",176.375384228894,8,0,0,0.389324433336308
