"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"plvapb",1818.92514729853,8,0,0,0.865067031361436
"gpm6ab",1599.22222573707,8,0,0,1.47080728958672
"prcp",1358.89174823672,8,0,0,1.17238769326329
"rgcc",1335.45606465328,8,0,0,1.56422554038397
"cxcl12a",1153.74388879123,8,0,0,1.94691695087526
"adcy2b",1006.73721336274,8,0,0,0.629638991256937
"igfbp1a",984.757386135347,8,0,0,2.58853894024323
"rab8b",878.003268858497,8,0,0,0.619702019645495
"fn1a",841.220546638878,8,0,0,1.4768904535142
"bmp6",818.210085444347,8,0,0,0.663668229403599
"stab1",802.233880751272,8,0,0,1.75071869740173
"ptmaa",789.522296430958,8,0,0,0.608972295143696
"cebpb",758.115693066745,8,0,0,1.96290816289509
"mrc1b",742.974735552257,8,0,0,3.76589125771429
"edn1",676.447291430042,8,0,0,1.08033868515594
"sdk1a",664.01914354364,8,0,0,1.81657670454849
"nkd1",660.884251790255,8,0,0,0.941199055605224
"exoc3l2a",658.435847077713,8,0,0,1.69361154891883
"ralgapa2",648.396799910958,8,0,0,1.47931693881446
"hlx1",620.523555487207,8,0,0,1.00896370997053
"postnb",613.78354019221,8,0,0,2.00757067948644
"emid1",611.39612904201,8,0,0,1.97030190820983
"arhgap36",598.545059442051,8,0,0,1.04539990624083
"ptn",592.693749983203,8,0,0,1.92077706991004
"cdh6",587.019672292897,8,0,0,2.27191200176573
"mrc1a",572.164030163906,8,0,0,1.85683895396451
"si:ch211-222l21.1",564.103592244942,8,0,0,1.43534620139357
"adma",551.610747875715,8,0,0,1.27377054985919
"spns2",549.241853584748,8,0,0,0.71401596636492
"selenop",548.613436139439,8,0,0,1.51111440333297
"sema3fb",523.313223007274,8,0,0,2.44279742551874
"crip2",518.123172645069,8,0,0,0.853247374401285
"lgmn",511.225658374395,8,0,0,1.57172489078841
"plpp3",510.409547043431,8,0,0,0.731521272098253
"podxl",506.810178060751,8,0,0,0.715913025457509
"LO018188.1",500.451066819937,8,0,0,1.68072276921416
"tshz2",493.619570507837,8,0,0,1.86395752805823
"pxk",486.311898305732,8,0,0,2.09794295048605
"nkain4",476.330309443505,8,0,0,0.960508344491653
"edn2",468.904986449003,8,0,0,2.1705454586591
"atrnl1a",460.220318000083,8,0,0,1.44170568918536
"rbfox3a",456.92805369214,8,0,0,1.36225084909482
"hapln1b",456.154861488436,8,0,0,1.31290020334106
"slit2",452.754272609821,8,0,0,0.545831254772537
"ebf3a",444.984024697253,8,0,0,0.637508777204722
"kirrel3l",432.834045811346,8,0,0,0.802824576342217
"hspg2",428.798554695872,8,0,0,0.824258277344624
"BX537310.2",415.119404783982,8,0,0,1.66019622225799
"mmrn2a",410.83070523991,8,0,0,0.99649320302996
"lyve1a",409.342473712722,8,0,0,1.03344297741112
"tmem108",400.13374209642,8,0,0,0.511810079668824
"aqp1a.1",390.906925073319,8,0,0,2.58105193609521
"si:ch211-250c4.4",389.70183344979,8,0,0,1.07842144984936
"tgm2b",384.228748892687,8,0,0,1.57591348763551
"igdcc3",381.529736726186,8,0,0,1.71845003836599
"prdx1",381.270835050399,8,0,0,0.915690759040465
