"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"f3b",32.4752772998833,8,7.65413066649012e-05,0.000148997327072763,0.712052064868282
"dpp6a",32.472802618248,8,7.66196873225322e-05,0.000148999854722792,1.65183828374161
"gulp1b",32.4687820440669,8,7.67471997713542e-05,0.000149097826289475,0.606365650421578
"epha7",32.456139527689,8,7.71495213104378e-05,0.000149728940454896,0.561600028460873
"pcbp4",32.3597560114199,8,8.02858177531007e-05,0.000155659464109071,1.23019636232251
"sema4ba",32.3049650411597,8,8.21243699624663e-05,0.000159064536209867,0.920571580844699
"fam83d",32.090937244975,8,8.97122802492323e-05,0.000173587425146913,1.95313395473993
"col1a2",31.952814234336,8,9.4971594509996e-05,0.000183580092187822,0.26886526845375
"cplx2",31.9414286446276,8,9.54184330224095e-05,0.000184259571460857,0.542006566105614
"fhl3b",31.8953779796782,8,9.72469590423408e-05,0.000187603165497849,3.91344280846102
"igfbp7",31.1998188107977,8,0.000129449912492086,0.000249478246108875,0.695196605143352
"sh3bp4a",31.1590299725071,8,0.000131634418371163,0.000253435588358025,0.25008249031376
"inpp5l",31.1170971217869,8,0.000133918010066791,0.000257575635282694,0.413694441404368
"rnd3a",30.6291647115805,8,0.000163532246590603,0.000314222497673594,0.284784318089373
"hist1h4l.7",30.6027251968933,8,0.000165309131418767,0.000317321301919044,3.06912544147356
"tlx1",30.5436466871307,8,0.000169348443559203,0.000324752521230099,19.2306645617259
"CABZ01061591.1",30.3975705341831,8,0.00017975732100306,0.000344371557481581,0.416219347915862
"myh9b",30.3817345127339,8,0.000180922851303555,0.000346261258979973,0.201198034311289
"hbegfa",30.3610184036033,8,0.000182458779825256,0.000348855411871633,0.303110303545866
"igf2a",30.3042311630832,8,0.000186735126705084,0.000356678853676806,2.06200502046118
"nrxn2a",30.3015831575285,8,0.000186936920534397,0.000356711813813416,1.59481046252928
"arrb1",30.2903366729242,8,0.000187796361331372,0.000357998389007437,2.99489743340961
"nrp1b",30.2324694080414,8,0.000192280285540081,0.000366185016698499,0.389832460864951
"esrrga",30.1732671487904,8,0.000196976544870275,0.000374759509088821,3.0046516858612
"foxn3",30.1587859377887,8,0.000198142331679585,0.000376606811343793,0.150637156944278
"tp53i11b",30.0652345372169,8,0.00020583865366075,0.000390850803070953,0.715927704480461
"foxf2a",29.8215759365713,8,0.000227289990605839,0.000431159520943167,2.08469483396512
"dpyda.3",29.8169989218606,8,0.000227713269803864,0.000431538971108696,1.77487462628194
"dspb",29.7887696754493,8,0.000230341062462558,0.00043609135527926,0.246361426778607
"fam169aa",29.7852764511135,8,0.000230668302707571,0.000436283590150425,1.55908067927592
"prkceb",29.5881896563449,8,0.000249889959158422,0.000472177215105797,0.490010825271008
"arhgap42b",29.5362182065736,8,0.000255215461735014,0.00048176903079471,1.14375870733342
"pcbp3",29.4548167548081,8,0.000263781447403688,0.000497453207640321,1.53660113841213
"abhd17b",29.3510735770929,8,0.000275108647332822,0.000518308981768368,0.411625472723478
"fam117bb",29.199507739995,8,0.000292520676064223,0.000550576890781054,0.827294591006761
"adma",29.0842976497017,8,0.000306475560564068,0.000576281379932241,0.401690030126466
"cyp27c1",28.9475590541823,8,0.00032388771540548,0.000608430470241781,2.663384222366
"si:ch211-176g6.2",28.8379870517178,8,0.000338537910539505,0.000635333768031906,26.6875147928406
"hist1h4l.19",28.8347688409126,8,0.000338977883008074,0.000635542432448697,2.8916757351308
"rbfox3a",28.7265733781868,8,0.000354100593998208,0.000663252372285403,0.420524447605471
