"Gene","waldStat","df","pvalue","FDR"
"runx1t1",5.70989805053631,5,0.335478084846315,0.999999999996998
"cacnb1",2.1801863296651,2,0.336185171612478,0.999999999996998
"sema4c",5.69836109447793,5,0.336684587130572,0.999999999996998
"efnb1",2.17491908462957,2,0.337071723359473,0.999999999996998
"cxcl20",5.68932020832303,5,0.337632363772455,0.999999999996998
"eda",2.17109133820765,2,0.337717453626808,0.999999999996998
"col4a2",5.68494942677483,5,0.338091289670295,0.999999999996998
"CABZ01079281.1",5.68159341358426,5,0.338443987964982,0.999999999996998
"id3",3.34865745963334,3,0.340927645549787,0.999999999996998
"pmepa1",2.15149620020016,2,0.341042525896571,0.999999999996998
"efna3b",5.64806811566559,5,0.341982654755858,0.999999999996998
"bub3",5.63914472439998,5,0.342929241184016,0.999999999996998
"itga10",5.62561418757227,5,0.344368324912818,0.999999999996998
"rras2",5.62425960309489,5,0.344512646687436,0.999999999996998
"pdzd2",5.62420951638154,5,0.344517983961029,0.999999999996998
"pcdh7b",5.62038426018267,5,0.344925790087568,0.999999999996998
"tuba8l",5.61507394088698,5,0.34549252016737,0.999999999996998
"sypb",2.12213907331436,2,0.346085461227092,0.999999999996998
"dachd",2.11916405156387,2,0.34660065019403,0.999999999996998
"aplnra",5.60434467886568,5,0.346639712702573,0.999999999996998
"ttyh2l",5.59242929759293,5,0.347917083123971,0.999999999996998
"dnmt3bb.1",5.59096920616588,5,0.348073852960314,0.999999999996998
"dck",5.59027433882328,5,0.348148479410985,0.999999999996998
"eif2ak3",2.10258862984076,2,0.349485112451657,0.999999999996998
"slco3a1",2.09764554816561,2,0.350349947476509,0.999999999996998
"CT990561.1",5.55294020561228,5,0.35217571101519,0.999999999996998
"FP565451.1",2.08338381647776,2,0.352857174676584,0.999999999996998
"smyd3",5.52735186475115,5,0.354955970781641,0.999999999996998
"hsp90aa1.2",5.5179179543356,5,0.355985112375698,0.999999999996998
"adamts9",2.06488216621331,2,0.356136539725781,0.999999999996998
"ntrk3a",4.38558319008685,4,0.35633073348447,0.999999999996998
"rhbdf1b",5.50958911398805,5,0.356895545411854,0.999999999996998
"tiparp",2.05532149563675,2,0.357843067431643,0.999999999996998
"abca2",2.0553137184705,2,0.357844458936862,0.999999999996998
"pcolce2b",3.22598180874278,3,0.358078168667435,0.999999999996998
"kcnn1a",2.05038742069387,2,0.358726969549409,0.999999999996998
"spdl1",5.49033589011923,5,0.359006749391061,0.999999999996998
"vipr2",5.48958755310389,5,0.359088994479579,0.999999999996998
"slc44a5b",5.48660587854664,5,0.359416830466865,0.999999999996998
"thbs3b",5.48320075100281,5,0.359791496254899,0.999999999996998
"nfkbiab",5.4813538336995,5,0.359994833235602,0.999999999996998
"mdka",5.48065577643688,5,0.360071708224159,0.999999999996998
"tnfsf11",2.03599263830476,2,0.36131818167906,0.999999999996998
"zgc:172120",2.03087613561282,2,0.362243707763069,0.999999999996998
"nptx1l",2.0299312058869,2,0.362414895623756,0.999999999996998
"ifih1",2.02863440675362,2,0.362649961485087,0.999999999996998
"myrfl",4.33360133171867,4,0.362736413792766,0.999999999996998
"gmps",5.45032092277602,5,0.363424128587595,0.999999999996998
"il1b",2.02244303932698,2,0.363774350542998,0.999999999996998
"mcamb",5.44468067737458,5,0.364049982535912,0.999999999996998
"sulf2b",2.0171097177905,2,0.364745707896739,0.999999999996998
"si:ch211-71m22.1",3.17872023005165,3,0.36488231864118,0.999999999996998
"atrnl1a",5.43198489745148,5,0.365461635371281,0.999999999996998
"hmgb2a",5.42436768067724,5,0.366310527557789,0.999999999996998
"si:ch73-36p18.1",5.41996370123675,5,0.366801983907664,0.999999999996998
"fam169aa",2.00165216542068,2,0.367575667813836,0.999999999996998
"cacnb3a",2.0012023674851,2,0.367658344498713,0.999999999996998
"ppap2d",5.40662602946155,5,0.36829333299763,0.999999999996998
"pou2f2a.1",5.39780260399517,5,0.369282359228732,0.999999999996998
"klf17",3.14744001837103,3,0.369446699853603,0.999999999996998
"meis2a.1",5.3932150375414,5,0.36979735057922,0.999999999996998
"ccdc102a",5.38177158709165,5,0.371084255928511,0.999999999996998
"hspg2",5.37751939749163,5,0.371563279342217,0.999999999996998
"tspan2a",4.26165294933613,4,0.371751575511689,0.999999999996998
"ext1b",5.36525039654585,5,0.372947948447165,0.999999999996998
"rbbp8",5.36045442580421,5,0.373490237075506,0.999999999996998
"chsy1",5.35249196549592,5,0.374391831288396,0.999999999996998
"akt3a",1.96102894085523,2,0.375118062050005,0.999999999996998
"uspl1",5.34479082581779,5,0.375265338121982,0.999999999996998
