"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"bcl11aa",377.727753412147,8,0,0,2.16996825409722
"hnrnpa0b",376.950538498002,8,0,0,0.558609995610878
"abcf1",374.476528955632,8,0,0,0.543054827415729
"npm1a",374.032417425878,8,0,0,0.667565599949835
"nfatc1",372.365227043167,8,0,0,0.609186638181075
"fabp11a",369.446880757466,8,0,0,2.34216967381617
"CABZ01066694.1",367.461259142507,8,0,0,2.12084313106296
"hoxb8a",364.792138891719,8,0,0,2.61944167301148
"kcnn1a",364.676736994527,8,0,0,3.50179267071204
"tcp1",361.758019522621,8,0,0,0.643365268353784
"nap1l1",355.86147930031,8,0,0,0.450301170349069
"iqgap2",355.019253552499,8,0,0,0.867924068927493
"eif4a1a",354.652143031569,8,0,0,0.631891587400586
"ranbp1",354.559518144513,8,0,0,0.498065670455704
"hist1h4l.6",352.466140710829,8,0,0,1.35256793660259
"nasp",352.350860243411,8,0,0,0.720641093349628
"trps1",346.012876801547,8,0,0,1.70325949461747
"cbx3a",343.893214700642,8,0,0,0.427268849180655
"pdzrn3b",343.025111740713,8,0,0,0.744582221816331
"tfpia",338.950584436707,8,0,0,1.44995016315698
"si:ch73-281n10.2",337.510285500598,8,0,0,0.736129768553518
"eppk1",337.507730656823,8,0,0,2.53189110834165
"sumo3b",336.927090544107,8,0,0,0.759009670103477
"tlx2",336.614644476271,8,0,0,4.86488053840859
"bmpr1ab",335.854671726801,8,0,0,2.31966258247471
"tcf12",335.838308302507,8,0,0,0.84682026891762
"snrpd1",335.343714461622,8,0,0,0.481909705043727
"efnb3b",334.385610077113,8,0,0,0.749486180824822
"six2a",334.212536206497,8,0,0,10.3611703188924
"tbx1",332.340618652884,8,0,0,30.803131210314
"CR848683.2",331.940784253578,8,0,0,1.42634566740733
"prex1",330.87729643095,8,0,0,0.939685282174893
"itga5",327.645269701958,8,0,0,0.466434468530592
"mtss1lb",325.162765875414,8,0,0,1.38128178841809
"kdm6bb",324.873646091254,8,0,0,0.98838158399075
"cgnl1",322.371506453929,8,0,0,0.641264203801859
"galnt1",321.943189281884,8,0,0,0.748396699718036
"hmgb1b",321.551021777861,8,0,0,1.00473524065561
"tcima",321.089632370595,8,0,0,0.562809954817043
"hs6st1b",320.459584344876,8,0,0,1.02854177465126
"diaph3",316.877657840682,8,0,0,1.47410135719719
"ccn2a",316.261790415198,8,0,0,2.80294787172556
"snu13b",315.539738287038,8,0,0,0.632175091167299
"macf1a",314.986072565873,8,0,0,0.308136603519995
"kif26aa",314.267232740752,8,0,0,4.81888426568488
"glula",314.068444287052,8,0,0,1.35269550823143
"rasip1",313.719746378069,8,0,0,0.518667746108801
"itga9",313.005615340668,8,0,0,0.53483624273637
"elk3",312.987696576519,8,0,0,0.648278534036053
"nectin1b",311.836256278237,8,0,0,0.584302188805743
"glulb",311.497879099801,8,0,0,0.616935360506292
"iqgap1",311.11363372423,8,0,0,0.980869370484195
"si:dkey-108k21.10",310.845117094163,8,0,0,2.2219707140926
"fhl3a",310.467032225924,8,0,0,1.2957648256853
"zfpm2b",310.342261899046,8,0,0,1.48556278580611
"pa2g4b",310.012468780385,8,0,0,0.705324456927766
