"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"nes",7.10982965013403,8,0.52483064466815,0.705617818718765,0.818479347973502
"carmil3",7.0961058189649,8,0.526300022999445,0.707101282639031,1.40265796624471
"CR376857.2",7.07984943730741,8,0.528042570497506,0.708949441418472,0.816370202084434
"kcnd1",7.01480091543452,8,0.535036604060732,0.717840777114816,1.57860464085716
"pvalb2",7.00662556028255,8,0.535917987530319,0.718455788927672,0.184462612547247
"myo16",7.00365157413479,8,0.536238741011233,0.718455788927672,0.795464170041189
"CR925802.1",6.97859567685048,8,0.538943794306651,0.721579633125745,1.98229822400205
"kcnd3",6.92714070692842,8,0.544513717313761,0.728532203497359,2.6920928296124
"KCNMA1",6.90286436403872,8,0.547148317492148,0.731550553214415,1.89232042995466
"st6gal2b",6.85427672152565,8,0.552433792596215,0.737950985190549,52.4340907192139
"CR533571.1",6.85183980317835,8,0.5526993144776,0.737950985190549,3.73110793763096
"rab11fip5a",6.82214821454812,8,0.555937654522826,0.741283635274545,4.12848104883327
"grm6a",6.82191854508297,8,0.555962726455909,0.741283635274545,1.47966971671264
"nmur3",6.80828705617852,8,0.557451430334656,0.742755974763142,2881.86918566565
"si:dkey-172j4.3",6.79519668441383,8,0.558882172956863,0.74414910968481,3.7193597807007
"islr2",6.73553596176373,8,0.565416585977431,0.752331159854268,7.68848261980762
"asic2",6.7013460640228,8,0.569170979737049,0.756658910465046,0.661873388938667
"egr3",6.69878567830965,8,0.569452409842742,0.756658910465046,1.47489348273645
"alcamb",6.66059000898602,8,0.57365516317974,0.761719433170624,0.931338935661447
"negr1",6.6238461721964,8,0.577705692006838,0.766571014393688,0.367130075794566
"olfm1b",6.58036451764424,8,0.582508010218342,0.772412817942235,0.783337721296322
"adarb2",6.54478053955829,8,0.586444956976161,0.777099901836724,0.535981503663374
"pvalb3",6.53359811441583,8,0.587683381164378,0.778207191507593,0.685886927729253
"col11a1a",6.49278123047479,8,0.592208464042745,0.783662159267522,0.683681063306399
"pex5la",6.47350970385653,8,0.594347433404387,0.785954306185678,3.63400942850899
"pcdh18a",6.45639782830588,8,0.596247966354667,0.78786869275484,0.975378336165931
"pag1",6.453132944332,8,0.59661071299189,0.78786869275484,0.688380956049236
