"Gene","waldStat","df","pvalue","FDR"
"CR762400.1",1.67807460700843,5,0.891650325082249,0.999999999955556
"trim2a",1.66114707692512,5,0.893757749146733,0.999999999955556
"cyp1c2",0.224126705998402,2,0.893987618909357,0.999999999955556
"wu:fj16a03",0.223793658027818,2,0.894136501686393,0.999999999955556
"si:ch211-255i3.4",1.65796893072511,5,0.894151827723053,0.999999999955556
"foxd5",0.223644458463824,2,0.894203206562547,0.999999999955556
"egr3",1.63826179866313,5,0.89658407231942,0.999999999955556
"pdgfc",1.63577664587393,5,0.896889387447435,0.999999999955556
"spock1",1.63196029510398,5,0.897357631857732,0.999999999955556
"nedd9",1.61814438813139,5,0.899046486476678,0.999999999955556
"f3b",1.61787143943457,5,0.899079752037038,0.999999999955556
"si:dkey-33c12.3",0.211886003858538,2,0.899475915006677,0.999999999955556
"crygmx",1.06610995205032,4,0.899611284512799,0.999999999955556
"xirp1",0.210036875972814,2,0.900307922567992,0.999999999955556
"sema5a",1.60263324983119,5,0.900930722942142,0.999999999955556
"CR855379.1",0.579413664513805,3,0.901128544112618,0.999999999955556
"nfixa",1.59359133605376,5,0.902023254149881,0.999999999955556
"BX537130.1",0.206028866259573,2,0.902113953059787,0.999999999955556
"CR954285.2",1.58860923578551,5,0.902623382841219,0.999999999955556
"BX001047.1",1.58856870430472,5,0.902628259707908,0.999999999955556
"ntm",0.198846937607082,2,0.905359235442734,0.999999999955556
"CU457819.1",1.56260316756821,5,0.905734322569907,0.999999999955556
"cadpsa",1.54510622469122,5,0.907806605692301,0.999999999955556
"heatr1",1.51088070728698,5,0.91181077851392,0.999999999955556
"si:ch73-139e5.4",0.529177887292141,3,0.912435956060071,0.999999999955556
"CU179643.1",0.978062572063443,4,0.913103975872156,0.999999999955556
"tafa5a",0.522869404147749,3,0.913839131284342,0.999999999955556
"cryba1b",0.51775593230738,3,0.91497354874065,0.999999999955556
"si:dkey-185m8.2",1.48077015407921,5,0.915278208479661,0.999999999955556
"alcama",1.47680265690637,5,0.915731157269097,0.999999999955556
"BX322792.1",0.51043643827936,3,0.916592661635065,0.999999999955556
"ENSDARG00000094627",0.509343908142961,3,0.916833852320347,0.999999999955556
"tenm3",1.45966729813571,5,0.917676741045582,0.999999999955556
"si:dkey-262k9.2",0.169002483912462,2,0.918970514054967,0.999999999955556
"zgc:123103",0.168946261687799,2,0.918996347701422,0.999999999955556
"cd276",1.44667667856862,5,0.919140065431971,0.999999999955556
"eva1a",1.40891638800865,5,0.923335436529906,0.999999999955556
"CU633785.1",0.159030243634654,2,0.923564053896098,0.999999999955556
"adrb3a",1.39961399827877,5,0.924355492591245,0.999999999955556
"esrrga",1.37078919184496,5,0.927481754327298,0.999999999955556
"lnx1",0.148456012187495,2,0.928459975173491,0.999999999955556
"si:dkeyp-41f9.4",0.454997049414582,3,0.928661087559101,0.999999999955556
"si:dkey-5n18.1",0.147072845821164,2,0.929102304565064,0.999999999955556
"foxf2b",1.35460049675267,5,0.92921432527899,0.999999999955556
"mpz",1.34620149296488,5,0.930106550073793,0.999999999955556
"galnt18b",0.857235540925903,4,0.930614286536891,0.999999999955556
"eps8b",0.445746282846639,3,0.930638390046398,0.999999999955556
"si:dkey-23a13.17",1.34039724280926,5,0.930720453591486,0.999999999955556
"si:dkey-239h2.3",1.3238790565275,5,0.932455466486841,0.999999999955556
"TENM2.1",0.137769197204922,2,0.933434393496464,0.999999999955556
"laptm5",0.834280071823545,4,0.933794156283832,0.999999999955556
"chd4a",1.30353339558377,5,0.93456767551122,0.999999999955556
"arhgef10lb",0.134539638877518,2,0.934942901531648,0.999999999955556
"si:ch73-359m17.5",0.133623673503163,2,0.935371187260288,0.999999999955556
"zgc:112234.1",0.133406158979675,2,0.935472921201381,0.999999999955556
"serp2",0.13039101195945,2,0.936884278992312,0.999999999955556
"pitx3",0.130360656586482,2,0.936898498836083,0.999999999955556
"neil3",1.27581221722817,5,0.937400792404106,0.999999999955556
"si:dkey-68o6.5",1.26306152655187,5,0.938686325015533,0.999999999955556
"adgrl1a",0.124902981570898,2,0.939458634108597,0.999999999955556
"CABZ01067348.1",1.25396927000697,5,0.939596163799427,0.999999999955556
"FAM135B",0.123887562676003,2,0.939935727234715,0.999999999955556
"plod2",1.23614973561164,5,0.941362634272284,0.999999999955556
"lamb2",1.23440004176508,5,0.941534884472307,0.999999999955556
"CR925802.1",1.21686588992577,5,0.943249113194149,0.999999999955556
"CR377229.1",0.755793747808049,4,0.944274339076309,0.999999999955556
"rbbp8",1.18746087192023,5,0.946074653783239,0.999999999955556
"crybb1l1",0.739392949610102,4,0.946383585373471,0.999999999955556
"erbb4b",0.736643877905731,4,0.946734284319525,0.999999999955556
"si:dkey-10f21.4",1.17014622695959,5,0.947709165344683,0.999999999955556
"crip1",1.16800946242166,5,0.947909358191507,0.999999999955556
"arhgap45b",0.105384026165541,2,0.948672146103062,0.999999999955556
"tnni1b",0.711670249489306,4,0.949881981561122,0.999999999955556
"gpr37b",0.348203372442242,3,0.95072177934618,0.999999999955556
"micu3b",0.346572058603386,3,0.951044198158304,0.999999999955556
"egr4",0.696706425509285,4,0.951734464138512,0.999999999955556
"znf536",1.11822463306384,5,0.952477875518315,0.999999999955556
"npr3",0.676066092366997,4,0.954247328836875,0.999999999955556
"pdgfrl",0.665915013604513,4,0.955464810844478,0.999999999955556
"cdkn1ca",0.659938824014397,4,0.956175822082335,0.999999999955556
"CR762407.2",1.07626122003668,5,0.956183272821253,0.999999999955556
"gpr143",0.654136760640655,4,0.95686200216629,0.999999999955556
"CR352292.1",1.05575444209853,5,0.957944609544467,0.999999999955556
"ankef1b",0.63326742551528,4,0.959296139829621,0.999999999955556
"cyp27c1",0.632804540612291,4,0.959349519931676,0.999999999955556
"twist2",0.0806395811794206,2,0.960482236853809,0.999999999955556
"pappaa",1.02149230350239,5,0.960813709095022,0.999999999955556
"rnf24",1.02112501109077,5,0.960843961640921,0.999999999955556
"kcnd2",0.0796912606332887,2,0.960937767362211,0.999999999955556
"alcamb",0.0775249736659439,2,0.961979164732718,0.999999999955556
"si:dkey-102g19.3",0.287972023771699,3,0.96227451436494,0.999999999955556
"abch1",0.287530271416792,3,0.962356382158851,0.999999999955556
"RIMBP2",0.590882315132523,4,0.964071460264781,0.999999999955556
"CR936442.1",0.976363694030062,5,0.964449585886934,0.999999999955556
"CT955962.3",0.0718395539901102,2,0.964717682930323,0.999999999955556
"phgdh",0.928025632670471,5,0.968159630667306,0.999999999955556
"si:ch211-136m16.8",0.550981914946642,4,0.968351838425882,0.999999999955556
"BX248108.1",0.54605997593599,4,0.968864887552907,0.999999999955556
"zfhx4",0.246382260027445,3,0.969775508649437,0.999999999955556
"hccsa.2",0.53138314161143,4,0.970374788977608,0.999999999955556
"cabp7b",0.0597601532609666,2,0.97056191962539,0.999999999955556
"FQ312024.1",0.890986574375814,5,0.970870747327728,0.999999999955556
"rasl10a",0.860062926567103,5,0.973045230233584,0.999999999955556
"foxg1d",0.0532555534062072,2,0.973723616692784,0.999999999955556
"kcnab2a",0.848031537117987,5,0.97386912582253,0.999999999955556
"mavs",0.0526846629892517,2,0.974001601106323,0.999999999955556
"BX908750.1",0.0492361217575526,2,0.975682492185993,0.999999999955556
"runx3",0.7769852344161,5,0.978478013385055,0.999999999955556
"pcdh11.1",0.772864666136263,5,0.978731737907167,0.999999999955556
"pdlim3b",0.771641980314227,5,0.978806736078804,0.999999999955556
"tspan9a",0.76045419531506,5,0.979486832938259,0.999999999955556
"mtf2",0.72778659838157,5,0.981408947107126,0.999999999955556
"nes",0.409452854306486,4,0.98169567943924,0.999999999955556
"ahrra",0.036345933073037,2,0.981991166057247,0.999999999955556
"has2",0.713888829213948,5,0.98219773617145,0.999999999955556
"CR854927.3",0.163139212762496,3,0.983308301911651,0.999999999955556
"cd28l",0.161294471197151,3,0.983581619683231,0.999999999955556
"ccdc136b.1",0.0303233268975647,2,0.984952695881761,0.999999999955556
"ptpro",0.151581590950976,3,0.984998837850983,0.999999999955556
"hs2st1b",0.644664250804992,5,0.985867069800827,0.999999999955556
"fam161a",0.355698613718887,4,0.985940616681422,0.999999999955556
"si:ch211-125o16.4",0.353125153281129,4,0.986131604606023,0.999999999955556
"ankrd13b",0.617296605722079,5,0.987197619542427,0.999999999955556
"plxnc1",0.337121288063155,4,0.987293546066742,0.999999999955556
"creb5a",0.61497251966688,5,0.987307460025115,0.999999999955556
"samd11",0.603368153621702,5,0.987848511054679,0.999999999955556
"apoa4a",0.0216324856637671,2,0.989242042390965,0.999999999955556
"emilin1a",0.303897287564976,4,0.989561203840272,0.999999999955556
"gdf7",0.116421529108767,3,0.989796458663762,0.999999999955556
"myh11a",0.556461146237503,5,0.989909812773133,0.999999999955556
"si:dkey-79d12.5",0.552577596425536,5,0.99007142730868,0.999999999955556
"zgc:173552.5",0.526561247456545,5,0.991118412912556,0.999999999955556
"msi2a",0.516601764871113,5,0.991502782585356,0.999999999955556
"sdhda",0.269929739307676,4,0.991671702981775,0.999999999955556
"cadm1b",0.255434950133095,4,0.992506399354828,0.999999999955556
"mmp17b",0.455609038570618,5,0.993658684061064,0.999999999955556
"slc25a47b",0.0839904777358611,3,0.993686834182891,0.999999999955556
"zgc:112265",0.0795330256237741,3,0.994174926475576,0.999999999955556
"ank2b",0.0754601711228844,3,0.994610045177347,0.999999999955556
"csrp1b",0.420006433812052,5,0.994760588409513,0.999999999955556
"dab1a",0.419928052169912,5,0.994762887899733,0.999999999955556
"BX649313.1",0.408606375989505,5,0.995089224452356,0.999999999955556
"btbd11a",0.402169409544117,5,0.995269629294437,0.999999999955556
"hist1h2a5",0.378987914266835,5,0.995888632422998,0.999999999955556
"CR382372.1",0.370840087988493,5,0.996094846554762,0.999999999955556
"cenpl",0.360761311329222,5,0.996341810777666,0.999999999955556
"CABZ01102039.1",0.00521199855342296,2,0.997397393391667,0.999999999955556
"mcf2a",0.295560039679825,5,0.997725756735244,0.999999999955556
"BX511025.1",0.287074600531802,5,0.997879133288178,0.999999999955556
"rflnb",0.00423861951125945,2,0.99788293439566,0.999999999955556
"pitpnm3",0.273043338991684,5,0.998119548312979,0.999999999955556
"rab44",0.00363055807807336,2,0.998186367583448,0.999999999955556
"phldb1a",0.101806159344081,4,0.998747575661021,0.999999999955556
"CT573344.1",0.0639977566468418,4,0.999498827468379,0.999999999955556
"tcap",1.2116321666166e-05,2,0.999993941857518,0.999999999955556
"slc17a9a",0.00522350855578881,4,0.999996595302469,0.999999999955556
"si:dkeyp-123h10.2",3.65514725965952e-06,2,0.99999817242804,0.999999999955556
"BX663503.1",2.16391777508233e-07,2,0.999999891804117,0.999999999955556
"si:ch211-93e11.8",1.56638922911888e-07,2,0.999999921680542,0.999999999955556
