"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"prox1a",123.390144945756,8,0,0,0.608647083676669
"rrm1",123.257680546062,8,0,0,1.05541064260593
"nuf2",122.644255951612,8,0,0,1.06460926982477
"cenpe",122.550769026884,8,0,0,1.01656010878851
"birc5a",122.111678074818,8,0,0,1.07011266860565
"calcrla",121.597735737117,8,0,0,0.417450326885378
"zbtb16b",119.019914065732,8,0,0,2.56956073791686
"cdh5",116.739460675765,8,0,0,0.448346202135786
"kif26ab",116.685513354014,8,0,0,1.34609575211366
"ncl",116.556895857493,8,0,0,0.864655326879601
"klf6a",115.476375046935,8,0,0,0.875832563394985
"fhl1b",114.997887361478,8,0,0,2.18460786235457
"jmjd1cb",114.194892135509,8,0,0,0.392199540877955
"cdc20",114.073739853321,8,0,0,1.09849154137825
"kdm6bb",112.775212019257,8,0,0,0.855884128646017
"cks1b",112.683200598358,8,0,0,0.911474511413586
"nav2a",111.928970128876,8,0,0,1.33728466711328
"serpinf1",111.863262088932,8,0,0,1.87764881597062
"hist1h4l.20",111.581698293562,8,0,0,0.806654729646387
"si:ch1073-153i20.4",110.966525954847,8,0,0,1.71175392923644
"cdca8",110.911104310689,8,0,0,0.981377368359736
"ablim2",110.586485065384,8,0,0,3.26752007010673
"cpeb3",109.85001596517,8,0,0,1.3027793562729
"timp2a",109.466332784248,8,0,0,0.998839150264507
"esama",106.760097921193,8,0,0,0.320620028755381
"cdca5",105.854603376519,8,0,0,1.12022427012871
"krt18a.1",105.810116911443,8,0,0,0.508767491659409
"ncapg",105.796712790985,8,0,0,1.20935515148371
"si:dkey-49n23.1",105.675449818769,8,0,0,0.791901950478797
"si:dkey-261h17.1",105.223477239971,8,0,0,0.776501096972739
"kif11",105.19986824473,8,0,0,1.09602391685942
"ccnb1",105.139427826743,8,0,0,1.09233712549944
"sele",104.97768009886,8,0,0,0.559384313091633
"hmmr",104.236237834294,8,0,0,1.24960877847987
"fabp3",103.676846621797,8,0,0,0.711830753224125
"npm1a",102.549188795586,8,0,0,1.38921433877711
"plxna2",102.389466948569,8,0,0,1.27543463033147
"rnd3b",102.36298923628,8,0,0,4.98275654381056
"frem2a",102.007403238734,8,0,0,2.57374453032657
"nrp2b",101.839824699065,8,0,0,0.615488146514991
"fbl",101.597145377088,8,0,0,1.10508013974557
"igfbp1a",101.480869029154,8,0,0,1.9452151152791
"spdl1",101.098708247299,8,0,0,0.908728610327502
"racgap1",101.01858868651,8,0,0,1.15976800177194
"kcnq5b",100.999493933751,8,0,0,2.56500258337652
"tgfb2",100.65752494567,8,0,0,4.22392123796835
"zgc:153409",100.327669286336,8,0,0,0.312118041361522
"fli1a",99.9416965463375,8,0,0,0.304394602587368
"nxn",99.8688433216309,8,0,0,0.714961696019355
"hoxa4a",98.8288920458687,8,0,0,1.85350221128822
"adarb1b",98.1202468048446,8,0,0,1.23429769516361
"sh3gl3a",97.6620285822703,8,0,0,0.516684118646157
"thbs3b",97.5181108908588,8,0,0,2.4368517411407
"zgc:86764",97.5126113786295,8,0,0,1.1228270951702
"zgc:153405",96.8307707010055,8,0,0,1.66737363259258
"cdh11",96.2598114470908,8,0,0,3.52490965269927
"hspg2",96.1266720965442,8,0,0,0.499880074496592
"notchl",94.6618882178286,8,0,0,0.995922258260147
"arhgap21a",94.3836646215983,8,1.11022302462516e-16,9.81412618453177e-16,1.99802926412589
