"Gene","waldStat","df","pvalue","FDR"
"arl5c",0.991424148854132,5,0.963254504690395,0.999999999920949
"notch3",0.989301512469985,5,0.963424056065755,0.999999999920949
"si:dkey-13m1.5",0.279671929555398,3,0.963805175958902,0.999999999920949
"adcy1a",0.0732257469950865,2,0.964049272141743,0.999999999920949
"si:dkey-221h15.4",0.273628306941337,3,0.964909498241387,0.999999999920949
"mmrn2a",0.96867515835275,5,0.965052561056681,0.999999999920949
"baiap2a",0.967349578695412,5,0.96515603113326,0.999999999920949
"cyp2ae1",0.0700584378085542,2,0.965577202737525,0.999999999920949
"tafa5a",0.0697891754693461,2,0.965707208276876,0.999999999920949
"tbx16",0.955513949313759,5,0.966073485239211,0.999999999920949
"si:dkey-161j23.7",0.0680231923689572,2,0.966560296161015,0.999999999920949
"si:ch211-149a19.3",0.263908747311988,3,0.966666915334663,0.999999999920949
"gulp1b",0.947731788099849,5,0.966670442877392,0.999999999920949
"twistnb",0.94607736884903,5,0.966796705838276,0.999999999920949
"specc1",0.940424859585333,5,0.96722638710501,0.999999999920949
"nol4lb",0.939226987676536,5,0.967317104318676,0.999999999920949
"si:ch1073-475a24.1",0.923327026032914,5,0.968509929248155,0.999999999920949
"znf804a",0.910536667882652,5,0.969454134516827,0.999999999920949
"slc14a2",0.060224742355721,2,0.970336489567669,0.999999999920949
"cited4a",0.892902641583154,5,0.970733335842827,0.999999999920949
"wnt2bb",0.887907938366205,5,0.971090880936968,0.999999999920949
"si:ch211-202f3.3",0.237173865544413,3,0.971376141172139,0.999999999920949
"BX276117.1",0.057736933181289,2,0.971544246589705,0.999999999920949
"si:dkeyp-82b4.3",0.235697654906969,3,0.971630574123055,0.999999999920949
"CT009597.1",0.5018750965531,4,0.973318181482131,0.999999999920949
"CR936479.1",0.0537691816870673,2,0.97347358280664,0.999999999920949
"BX571880.1",0.223489570760502,3,0.973711055676086,0.999999999920949
"si:dkey-238d18.5",0.051707249715519,2,0.974477718484487,0.999999999920949
"hipk3b",0.837762921855637,5,0.97456243814773,0.999999999920949
"lrrn3a",0.0501648318289134,2,0.975229534282302,0.999999999920949
"si:ch211-220f12.4",0.0495272440883611,2,0.975540481041271,0.999999999920949
"fam102ba",0.816460401670299,5,0.975971587939736,0.999999999920949
"nphp4",0.472965140225229,4,0.976078897356347,0.999999999920949
"gpr37b",0.47012400700641,4,0.976343478860893,0.999999999920949
"dagla",0.802518513387474,5,0.976872426961362,0.999999999920949
"slc1a5",0.202088493973936,3,0.977251441284748,0.999999999920949
"CU672227.1",0.794616068371898,5,0.97737547606011,0.999999999920949
"robo3",0.778995764101097,5,0.978353670133895,0.999999999920949
"AL805905.2",0.191116700896536,3,0.979010464214463,0.999999999920949
"tfec",0.762648908916762,5,0.979354292997505,0.999999999920949
"si:dkey-68o6.5",0.188839383405226,3,0.97937057097121,0.999999999920949
"gdf11",0.758873307958907,5,0.979582038635099,0.999999999920949
"si:dkey-178k16.1",0.756654965246366,5,0.979715259452465,0.999999999920949
"si:ch211-253p2.2",0.0398719320770197,2,0.980261441320475,0.999999999920949
"si:ch211-51a6.2",0.705996775805726,5,0.982637937475125,0.999999999920949
"cdnf",0.163868393880356,3,0.983199907999075,0.999999999920949
"im:7152348",0.68960458695312,5,0.983534324587533,0.999999999920949
"slc38a3a",0.031559116780431,2,0.984344286579297,0.999999999920949
"tmem108",0.669743303187164,5,0.984587875089927,0.999999999920949
"tspan9a",0.66909667760664,5,0.984621574864977,0.999999999920949
"capn2b",0.662554584539406,5,0.984960390820224,0.999999999920949
"arhgap15",0.652702836542965,5,0.985463277893264,0.999999999920949
"nkd3.3",0.644960031785781,5,0.985852316483374,0.999999999920949
"pip5kl1",0.144528180047373,3,0.986004281714731,0.999999999920949
"rap1gap",0.0267626159465027,2,0.986707823719144,0.999999999920949
"slc45a1",0.622583040454856,5,0.986945934355352,0.999999999920949
"glceb",0.613068411382501,5,0.987397083516881,0.999999999920949
"tnc",0.607703614546335,5,0.987647812887751,0.999999999920949
"oxct1a",0.603290233181155,5,0.987852102427163,0.999999999920949
"AL844186.1",0.0228040026059573,2,0.988662755162435,0.999999999920949
"TCIM",0.0217586817945348,2,0.98917962510112,0.999999999920949
"CPNE8",0.0216590476871522,2,0.989228904343077,0.999999999920949
"myh11a",0.57093242015243,5,0.989295402432067,0.999999999920949
"opn4a",0.307734276693686,4,0.989309446226448,0.999999999920949
"zgc:172323",0.566299328507478,5,0.989494201698285,0.999999999920949
"BX927082.1",0.557346642002843,5,0.989872768972575,0.999999999920949
"CABZ01056321.1",0.0202820553000314,2,0.989910219192704,0.999999999920949
"zgc:113625",0.114849746863113,3,0.989997709325634,0.999999999920949
"CU468723.4",0.549238402385676,5,0.990209281804129,0.999999999920949
"afap1",0.544029455866615,5,0.990422283737102,0.999999999920949
"tirap",0.106650991964517,3,0.991027505883799,0.999999999920949
"INSYN2A",0.0157812761629109,2,0.992140411283106,0.999999999920949
"irf1b",0.463745146972294,5,0.993390725362218,0.999999999920949
"tuft1a",0.462451338270152,5,0.993433739189616,0.999999999920949
"tspan33a",0.236834323302278,4,0.993518372511133,0.999999999920949
"zeb2b",0.453782034280812,5,0.993718027617288,0.999999999920949
"cyp46a1.2",0.0120272335116964,2,0.994004428846163,0.999999999920949
"zgc:194659",0.42801530658954,5,0.99452271060184,0.999999999920949
"tubb5",0.3965439981258,5,0.995424249429756,0.999999999920949
"si:ch211-237l4.6",0.39170935211056,5,0.995554873813586,0.999999999920949
"si:dkey-88l16.3",0.00829612946531805,2,0.995860526604608,0.999999999920949
"ripply2",0.182777142040037,4,0.99606997568109,0.999999999920949
"tfa",0.00658420762899568,2,0.996713309217548,0.999999999920949
"fam184a",0.165548290746149,4,0.996757523752519,0.999999999920949
"sh3gl2a",0.314772375138349,5,0.997355987933233,0.999999999920949
"csrp1b",0.313776467309468,5,0.99737592805206,0.999999999920949
"gchfr",0.309387467983141,5,0.997462795034617,0.999999999920949
"zhx2b",0.0030486236182712,2,0.998476849364039,0.999999999920949
"aldh1a2",0.235735593916969,5,0.998680268602336,0.999999999920949
"rnf24",0.0024697101321961,2,0.998765907053684,0.999999999920949
"thbs2b",0.0235827418037075,3,0.999043599563693,0.999999999920949
"erbb4b",0.197977643822249,5,0.999135472490041,0.999999999920949
"nes",0.112251370831955,5,0.999784251254071,0.999999999920949
"dhh",0.0687656270224764,5,0.999935638956144,0.999999999920949
"si:ch73-250a16.5",1.57019395546061e-05,2,0.999992149061042,0.999999999920949
"ptdss1b",5.68451321199176e-06,2,0.999997157747433,0.999999999920949
"cd4-1",7.64061183585203e-07,2,0.999999617969481,0.999999999920949
"prom1b",5.41133935470141e-07,2,0.999999729433069,0.999999999920949
"si:ch211-93e11.8",4.93416434887115e-07,2,0.999999753291813,0.999999999920949
"ak5l",3.33474270031269e-07,2,0.999999833262879,0.999999999920949
"si:ch211-102c2.8",1.50688143663292e-07,2,0.999999924655931,0.999999999920949
"adgrf3b",4.13559661653305e-08,2,0.999999979322017,0.999999999920949
"frs3",3.9112674155172e-08,2,0.999999980443663,0.999999999920949
"CABZ01112732.1",1.80181607647298e-08,2,0.99999999099092,0.999999999920949
"zgc:64065.1",4.19299135680495e-09,2,0.999999997903504,0.999999999920949
"pax4",3.72024583617762e-09,2,0.999999998139877,0.999999999920949
"sh3bp5b",2.15005695974621e-09,2,0.999999998924971,0.999999999920949
"arhgef33",1.5823155649925e-09,2,0.999999999208842,0.999999999920949
"wnt2",1.5343046244126e-09,2,0.999999999232848,0.999999999920949
"gpib",1.527233501445e-09,2,0.999999999236383,0.999999999920949
"adora2ab",1.41060971158112e-09,2,0.999999999294695,0.999999999920949
"rundc3b",1.25511801535440e-09,2,0.999999999372441,0.999999999920949
"wnt8a.1",1.20912281419765e-09,2,0.999999999395439,0.999999999920949
"nppb",1.13682163832834e-09,2,0.999999999431589,0.999999999920949
"C18H19orf12.1",1.11887022625442e-09,2,0.999999999440565,0.999999999920949
"CR759887.4",1.10366710714243e-09,2,0.999999999448166,0.999999999920949
"kcnn2",9.97160556331916e-10,2,0.99999999950142,0.999999999920949
"ppp2r2cb",9.5702960158897e-10,2,0.999999999521485,0.999999999920949
"fbxw10",9.35506350782796e-10,2,0.999999999532247,0.999999999920949
"jph1b",9.17699879027269e-10,2,0.99999999954115,0.999999999920949
"si:dkey-269i1.4",9.10456522851998e-10,2,0.999999999544772,0.999999999920949
"si:dkey-189h5.6",8.94437048334098e-10,2,0.999999999552782,0.999999999920949
"srd5a2b",8.83671671823494e-10,2,0.999999999558164,0.999999999920949
"BX548045.1",8.81717119503457e-10,2,0.999999999559141,0.999999999920949
"vwde",8.76876714844435e-10,2,0.999999999561562,0.999999999920949
"BX324194.2",8.6154289227307e-10,2,0.999999999569229,0.999999999920949
"BNC1",8.60876895401023e-10,2,0.999999999569562,0.999999999920949
"AL953865.1",8.29505195983686e-10,2,0.999999999585247,0.999999999920949
"lpar6b",8.26424473930317e-10,2,0.999999999586788,0.999999999920949
"col6a3.1",7.97553307574544e-10,2,0.999999999601223,0.999999999920949
"lpar5a",7.94738569558776e-10,2,0.999999999602631,0.999999999920949
"mmp30",7.92799098184946e-10,2,0.9999999996036,0.999999999920949
"BX322792.1",7.9026715693525e-10,2,0.999999999604866,0.999999999920949
"si:ch73-18b11.2",7.59809226436803e-10,2,0.999999999620095,0.999999999920949
"grin3a",7.5773719737002e-10,2,0.999999999621131,0.999999999920949
"ubn1",7.30240845246888e-10,2,0.99999999963488,0.999999999920949
"si:ch73-93k15.5",7.28952155448571e-10,2,0.999999999635524,0.999999999920949
"pax2b",7.17312378079505e-10,2,0.999999999641344,0.999999999920949
"ptprjb.1",6.77400682154321e-10,2,0.9999999996613,0.999999999920949
"cep41",6.76178654818452e-10,2,0.999999999661911,0.999999999920949
"scg3",6.75725683598132e-10,2,0.999999999662137,0.999999999920949
"paqr4a",6.67510945550318e-10,2,0.999999999666245,0.999999999920949
"si:dkey-196j8.2",6.58063947908555e-10,2,0.999999999670968,0.999999999920949
"gorasp1b",6.44871359306088e-10,2,0.999999999677564,0.999999999920949
