"Gene","waldStat","df","pvalue","FDR"
"nhsl1a",10.7494506273187,5,0.0565802722969321,0.21271181914661
"rhbdf1b",10.7344198819905,5,0.0569074713196677,0.213168354785974
"mcm10",10.7340068423552,5,0.0569164876758519,0.213168354785974
"ablim3",10.7180592319982,5,0.0572656401945286,0.214072120124556
"kifc1",10.7056085941189,5,0.0575396280453246,0.214692033214228
"postna",10.6786773534253,5,0.0581364908124281,0.216512071787373
"nrxn1a",10.6645147668505,5,0.0584526954505681,0.217282023350894
"snx22",10.6477596075539,5,0.0588288678054193,0.218108991472326
"rgs5b",10.6418261633072,5,0.0589626240814546,0.218108991472326
"ndnf",10.6399578435773,5,0.0590048002119088,0.218108991472326
"klhl5",10.6106728800168,5,0.0596695988472895,0.219994018380275
"prex1",10.6077466871364,5,0.0597364110362562,0.219994018380275
"cadps2",10.5950111043425,5,0.0600280135947097,0.220058232235067
"lgals2b",5.62458069024849,2,0.0600672599691928,0.220058232235067
"gata4",10.5924668120487,5,0.0600864291543608,0.220058232235067
"b4galt5",10.5802937427079,5,0.0603666543506425,0.220453414994408
"pcbp3",5.6123731087516,2,0.0604350191757212,0.220453414994408
"si:ch211-250g4.3",5.60931454948107,2,0.0605275119254167,0.220453414994408
"myh9a",10.5607172492794,5,0.0608198774546602,0.221112558145605
"hoxb9a",10.5413046619768,5,0.0612724531287671,0.222191455903854
"shisa9a",10.5383969685577,5,0.0613405127633813,0.222191455903854
"fbxo5",10.5252477738411,5,0.0616491778038398,0.222902764919166
"prr11",10.5176544092714,5,0.0618280869601016,0.223143186574185
"unc5b",10.5083759182679,5,0.0620473598998817,0.223528147733694
"rassf2a",10.4990117618888,5,0.0622693954905749,0.223921648639114
"march8",10.4917995976015,5,0.0624409116282666,0.224132386224429
"mad2l1",10.4681031781683,5,0.0630075670752683,0.225758160007956
"si:dkeyp-26a9.2",10.3748896309069,5,0.0652836157338471,0.233491850867904
"kdm6bb",10.3635937090108,5,0.0655645980748949,0.233655701898849
"pcdh9",10.3516130139346,5,0.0658638486808665,0.233655701898849
"kif11",10.3499070858165,5,0.0659065625506527,0.233655701898849
"rnf220a",10.3453941125917,5,0.0660196854337127,0.233655701898849
"gab2",10.3425498101056,5,0.0660910743252214,0.233655701898849
