"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00123225186225175,0.187874498215915,0.146,0.101,1,"LEC","ppp4ca"
0.00123840789436366,0.219707908822523,0.076,0.046,1,"LEC","si:ch211-126i22.5"
0.0012412901575797,0.863704640981896,0.021,0.008,1,"LEC","tanc1a"
0.00124192414594968,0.0310700462666899,0.319,0.241,1,"LEC","myl9a"
0.00124575150510761,0.705027387151696,0.04,0.02,1,"LEC","lta"
0.00124628500896948,0.213446019686103,0.157,0.11,1,"LEC","zgc:92664"
0.00124680394884955,0.319454313063124,0.096,0.062,1,"LEC","lrrc1"
0.00125044714864547,0.23067076163401,0.079,0.049,1,"LEC","zgc:163098"
0.00125639191598943,0.0718267459867001,0.181,0.129,1,"LEC","tcf7l1b"
0.00126614693390567,0.117686855646114,0.183,0.131,1,"LEC","fbxw11b"
0.00127051443169469,0.301298218687618,0.052,0.028,1,"LEC","fam122b"
0.00127111356771098,0.202672240499193,0.09,0.057,1,"LEC","becn1"
0.00128430222381625,0.15649351073762,0.139,0.094,1,"LEC","ppp3ccb"
0.00128696259050936,0.243797998542551,0.154,0.109,1,"LEC","armh3"
0.0012975801552859,0.523331450884104,0.061,0.035,1,"LEC","lancl1"
0.00129759803464098,0.731527819098699,0.034,0.016,1,"LEC","soul3"
0.0013072638403703,-2.45718553742262,0.009,0.031,1,"LEC","pola2"
0.00130790626540004,0.084842997119586,0.191,0.136,1,"LEC","mxi1"
0.00131076807376648,-1.03324805976917,0.075,0.113,1,"LEC","plekhb2"
0.00131165196328333,-1.16704238355987,0.04,0.072,1,"LEC","nr4a1"
0.00131645138342903,0.1075976600794,0.123,0.083,1,"LEC","arhgef2"
0.0013175940986267,-1.4201192686891,0.026,0.055,1,"LEC","gramd2aa"
0.00131791163982985,0.222641789217678,0.098,0.063,1,"LEC","sec22bb"
0.00131916376413515,-0.908563450237458,0.11,0.151,1,"LEC","zbtb8os"
0.00132030593809571,0.114942639602603,0.349,0.275,1,"LEC","cdh6"
0.0013233690449494,0.284619029189315,0.11,0.073,1,"LEC","sinhcafl.1"
0.00132709800275692,0.100105923785329,0.659,0.548,1,"LEC","rac1a"
0.00132993154130867,0.54759164366229,0.064,0.038,1,"LEC","mdn1"
0.00133729156109732,0.327835693504544,0.101,0.066,1,"LEC","camk2g2"
0.00133854248167057,0.751479056592844,0.024,0.01,1,"LEC","hacd1"
0.00134105988576689,0.123129038193878,0.206,0.15,1,"LEC","puf60b"
0.00134177774276452,0.366198958199579,0.099,0.064,1,"LEC","stk11"
0.00134314132841292,-2.16241786019935,0.009,0.031,1,"LEC","csnk1e"
0.00134839932985493,0.660451806243253,0.024,0.01,1,"LEC","ehhadh"
0.00134880471950122,0.67773074811698,0.043,0.022,1,"LEC","stox2b"
0.0013502152667247,-3.30762726195991,0.002,0.018,1,"LEC","pdlim2"
0.0013539589785337,0.457111963113524,0.078,0.048,1,"LEC","si:ch73-109d9.3"
0.00135549734092657,0.50589411804412,0.041,0.021,1,"LEC","CR925761.4"
0.00136237223905448,-5.43545983882686,0,0.015,1,"LEC","hoxd11a"
0.00136275229681905,0.238958506935542,0.13,0.088,1,"LEC","mccc1"
0.00136424023922332,-0.769355758056516,0.178,0.221,1,"LEC","slc20a2"
0.00136898034247901,0.222606342960369,0.174,0.124,1,"LEC","nrbp1"
0.00137524496676625,1.09982174190779,0.014,0.004,1,"LEC","sptbn5"
0.00138532843803639,0.346057752066298,0.099,0.065,1,"LEC","cdc27"
0.0013899216456683,0.398184291552581,0.081,0.05,1,"LEC","syvn1"
0.00139348715116391,-1.08332518259533,0.041,0.074,1,"LEC","efhd2"
0.00139733226935485,0.376336679487298,0.085,0.054,1,"LEC","arid3c"
0.00139886601323706,-0.358004042577598,0.636,0.6,1,"LEC","sem1"
0.00139888138763897,0.260851349439512,0.099,0.064,1,"LEC","pygo2"
0.00140206032572204,0.0283407432719598,0.22,0.159,1,"LEC","arglu1a"
0.00142746601733007,0.383382994715535,0.059,0.034,1,"LEC","rassf8a"
0.00142911869880376,-1.93513814882502,0.014,0.038,1,"LEC","slc9a3r1b"
0.0014291252402627,0.432976407082848,0.127,0.087,1,"LEC","cav2"
0.00142978139275139,0.820905182203612,0.032,0.015,1,"LEC","adcyap1b"
0.00143349698231727,0.142255502229894,0.599,0.496,1,"LEC","C19H6orf62"
0.00144035461332351,0.554287751984995,0.047,0.025,1,"LEC","prkdc"
0.00144514631356029,0.0630692710681469,0.674,0.567,1,"LEC","atp5po"
0.00144638632823276,0.100511720360735,0.556,0.444,1,"LEC","nid1b"
0.00144735981008434,0.152802580671965,0.212,0.156,1,"LEC","ubl3a"
0.00144958108688421,0.573233033202625,0.061,0.035,1,"LEC","nup205"
0.00145096627261701,0.0987098650076632,0.776,0.654,1,"LEC","gnb1a"
0.00145310841817277,0.933489443213562,0.026,0.011,1,"LEC","UBE2M"
0.00145459287607737,0.320415260428103,0.099,0.065,1,"LEC","pds5b"
0.00145656328558777,0.409004418849535,0.062,0.036,1,"LEC","plagl2"
0.00145697926714852,0.446433848239954,0.09,0.058,1,"LEC","tdh"
0.00145893682223664,0.340625204378446,0.081,0.05,1,"LEC","pdhx"
0.00146058923504466,0.0639200494426325,0.41,0.325,1,"LEC","si:dkey-67c22.2"
0.00146243985837158,-0.235549754584384,0.264,0.192,1,"LEC","glulb"
0.00146596333933251,0.661032628097106,0.032,0.015,1,"LEC","rgl2"
0.00146609680271897,0.423304931651151,0.096,0.063,1,"LEC","mid1ip1b"
0.00146681726920464,0.129248833481483,0.198,0.143,1,"LEC","ccnl1b"
0.00147143611931623,0.297672152728268,0.101,0.066,1,"LEC","flii"
0.00147726600934862,0.148046402004967,0.514,0.415,1,"LEC","gcnt4a"
0.00148410438852534,0.0579554252674512,0.976,0.899,1,"LEC","tuba8l4"
0.00148787904311129,0.185968962372702,0.142,0.098,1,"LEC","gsk3ab"
0.00148951935621204,0.1680697086913,0.076,0.046,1,"LEC","bod1l1"
