"rank","index","confect","effect","AveExpr","name","group"
71,23533,0.157,0.378592738331973,9.67959461233738,"mt-nd1","hmVEC__mVEC"
72,1864,0.155,0.380518850813239,7.82547539944801,"cyp26b1","hmVEC__mVEC"
73,20114,-0.155,-0.334406579652764,8.15980633333704,"ece1","hmVEC__mVEC"
74,13907,0.154,0.344090277175137,7.99181947561728,"si:ch211-250c4.4","hmVEC__mVEC"
75,20260,0.153,0.323674466264233,8.09462586066647,"snrpe","hmVEC__mVEC"
76,9947,0.152,0.353743492062466,9.39330425510913,"gapdhs","hmVEC__mVEC"
77,14954,-0.15,-0.31257594716694,7.56493929303755,"smad6b","hmVEC__mVEC"
78,9750,-0.149,-0.338186688880956,10.0932912999494,"pnrc2","hmVEC__mVEC"
79,4362,0.149,0.283310690459492,7.25377604163458,"hoxb8a","hmVEC__mVEC"
80,3264,0.149,0.328121471110511,8.07773927931497,"hexb","hmVEC__mVEC"
81,15800,0.145,0.326903760535862,8.07643830264915,"zfp36l2","hmVEC__mVEC"
82,7350,0.145,0.351994571831784,11.5618289642905,"actb1","hmVEC__mVEC"
83,15515,-0.144,-0.312409437547501,7.65628825307911,"arid5b","hmVEC__mVEC"
84,22819,-0.144,-0.309431493871822,8.07955535769004,"metap2b","hmVEC__mVEC"
85,21486,-0.142,-0.335640615226665,8.56229207342664,"ctdspla","hmVEC__mVEC"
86,17967,0.141,0.286846754410121,7.5516755948427,"mafba","hmVEC__mVEC"
87,1406,-0.138,-0.28889849026123,7.76853237328145,"ndrg2","hmVEC__mVEC"
88,19854,-0.138,-0.343644120870446,8.0088112676152,"krt94","hmVEC__mVEC"
89,4014,0.137,0.30146763918703,8.04491956156387,"ddx39ab","hmVEC__mVEC"
90,9793,0.137,0.266813701964531,7.37991550064133,"eva1ba","hmVEC__mVEC"
91,17651,0.137,0.3720749025953,8.70123591285568,"postnb","hmVEC__mVEC"
92,5352,0.137,0.286165384826333,7.72268428066031,"cycsb","hmVEC__mVEC"
93,10594,0.137,0.278547362727728,7.45874122736286,"dll4","hmVEC__mVEC"
94,18614,0.137,0.329910407835519,7.83696164752979,"tshz2","hmVEC__mVEC"
95,16269,-0.136,-0.356836586680355,7.83809397001403,"edn1","hmVEC__mVEC"
96,4822,-0.134,-0.333672824814831,9.17224653557715,"lfng","hmVEC__mVEC"
97,18738,0.132,0.359354288622265,9.57232464603556,"hmgb2b","hmVEC__mVEC"
98,13169,0.132,0.240621069186282,7.08190876540075,"tmsb1","hmVEC__mVEC"
99,10007,0.132,0.297851110759093,7.85075385956392,"notchl","hmVEC__mVEC"
100,4366,0.131,0.249109081502982,7.22454914734842,"hoxb6a","hmVEC__mVEC"
101,12697,0.13,0.321965432812759,8.20172079292535,"crip2","hmVEC__mVEC"
102,4896,0.13,0.310872350225885,8.66219560324069,"atp5pd","hmVEC__mVEC"
103,8315,0.128,0.315608110841732,8.70345880123059,"dbi","hmVEC__mVEC"
104,8955,-0.128,-0.313326718638604,8.0623500417574,"calcrla","hmVEC__mVEC"
105,8065,-0.128,-0.305262454818812,8.08928958361687,"abca1a","hmVEC__mVEC"
106,12306,0.128,0.244547287095917,7.13496169983097,"fabp7a","hmVEC__mVEC"
107,7791,0.127,0.377519500833805,10.3043677595595,"hmgb2a","hmVEC__mVEC"
108,16316,0.127,0.231932428117193,7.07652961341844,"krtt1c19e","hmVEC__mVEC"
109,6576,-0.127,-0.296669025304757,7.80371514460759,"kcnn1a","hmVEC__mVEC"
110,11155,-0.127,-0.340810001273035,9.27353350138244,"fam102aa","hmVEC__mVEC"
111,7161,0.125,0.309345203206712,8.94907426381065,"gpx4b","hmVEC__mVEC"
112,12810,-0.124,-0.325913052401739,8.18842413340617,"kif26ab","hmVEC__mVEC"
113,5445,0.124,0.287516598817471,8.13808412368611,"psmb3","hmVEC__mVEC"
114,19335,0.124,0.309536046950529,9.10285971669825,"cox8a","hmVEC__mVEC"
115,12727,0.124,0.319139924016749,8.3264099993467,"fosl2","hmVEC__mVEC"
116,20975,-0.124,-0.267215820891106,7.51411688127151,"lhfpl6","hmVEC__mVEC"
117,19241,0.122,0.285817574290081,7.94598483856298,"jam3b","hmVEC__mVEC"
118,16020,0.122,0.285915238437779,7.60094372997447,"hs3st3b1b","hmVEC__mVEC"
119,2278,0.122,0.295398604752875,7.81855779169758,"mtss1lb","hmVEC__mVEC"
120,19725,-0.122,-0.272900205295702,7.65872589657978,"kif21b","hmVEC__mVEC"
121,15969,0.121,0.271335843562739,7.6618128449355,"socs3b","hmVEC__mVEC"
122,23316,0.121,0.251694399416003,7.40861418035796,"si:ch211-147k10.5","hmVEC__mVEC"
123,7824,0.12,0.302678321011901,9.90975688613895,"TXN","hmVEC__mVEC"
124,8795,0.12,0.258004650447422,7.61388753912502,"hspd1","hmVEC__mVEC"
125,11536,-0.119,-0.265455706455512,7.64864513806153,"slc38a5b","hmVEC__mVEC"
126,21161,0.118,0.301795704116097,8.96866338301285,"COX5B.1","hmVEC__mVEC"
127,15557,0.118,0.246900331369964,7.54832255314995,"snu13b","hmVEC__mVEC"
128,10582,-0.116,-0.234571802124866,7.26284633018516,"kif26aa","hmVEC__mVEC"
129,15976,0.115,0.307055728895334,8.44130553060534,"bahcc1b","hmVEC__mVEC"
130,20628,0.114,0.278951258214419,8.1321494702576,"ndufa8","hmVEC__mVEC"
131,14707,0.114,0.255206547668629,7.61602955312275,"dut","hmVEC__mVEC"
132,13359,0.114,0.244693227248498,7.51898908402289,"tgfbi","hmVEC__mVEC"
133,21362,0.113,0.32796491547532,9.19214265176213,"tmem108","hmVEC__mVEC"
134,22297,0.113,0.267560520341375,7.89130316655599,"lsm7","hmVEC__mVEC"
135,16021,0.113,0.192023251431887,7.01822817519705,"CR456627.1","hmVEC__mVEC"
136,11425,0.113,0.262931822370801,7.60636349678595,"npl","hmVEC__mVEC"
137,15643,0.113,0.201531482454399,7.0951370615884,"ch25h","hmVEC__mVEC"
138,10545,-0.112,-0.3418901876563,9.72791293264688,"akap12b","hmVEC__mVEC"
139,16319,0.111,0.2201047539574,7.07755010068721,"cyt1","hmVEC__mVEC"
140,4357,0.111,0.296139477082959,8.66603770716007,"atp5mc1","hmVEC__mVEC"
