"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"ccser2a",0.000257809847601586,0.887919750474606,0.025,0.008,1,"LEC__preLEC"
"cdc42ep4a",0.000258509410173545,0.49028222990239,0.06,0.032,1,"LEC__preLEC"
"epn3a",0.000259822889970052,0.344382685120065,0.073,0.041,1,"LEC__preLEC"
"rpz2",0.000259855630534392,0.0686647739179806,0.148,0.098,1,"LEC__preLEC"
"hexb",0.000260102049174954,0.0882084396937506,0.488,0.373,1,"LEC__preLEC"
"chtf8",0.000260891279205229,0.00677618575354333,0.12,0.076,1,"LEC__preLEC"
"tomm20a.1",0.000261335848320729,0.823091730707008,0.03,0.012,1,"LEC__preLEC"
"diabloa",0.000261657232363759,0.0877895547384888,0.102,0.063,1,"LEC__preLEC"
"rap2b",0.000261688193513642,0.0619277460662222,0.151,0.1,1,"LEC__preLEC"
"map9",0.000262733095638292,0.873768092564063,0.038,0.017,1,"LEC__preLEC"
"ndc1",0.000262960872595786,0.1433576884388,0.08,0.046,1,"LEC__preLEC"
"gpatch11",0.000263248750805448,0.186161084047596,0.119,0.076,1,"LEC__preLEC"
"ppp1r9ala",0.000263457597426441,0.0345294330962347,0.123,0.078,1,"LEC__preLEC"
"sf3b2",0.000263615261360341,0.0535736353830292,0.525,0.388,1,"LEC__preLEC"
"lta",0.000263948498118183,0.610621712485708,0.038,0.017,1,"LEC__preLEC"
"ttc4",0.000264488334810486,0.488199495208028,0.06,0.032,1,"LEC__preLEC"
"emc9",0.000264580574309164,0.0835000727216576,0.171,0.116,1,"LEC__preLEC"
"pfdn4",0.000264789670536116,0.0580626836672518,0.654,0.505,1,"LEC__preLEC"
"plekho2",0.000265177613684338,0.210081822785481,0.081,0.047,1,"LEC__preLEC"
"pawr",0.000265650709848604,0.0462436428485607,0.274,0.195,1,"LEC__preLEC"
"si:ch211-191d2.2",0.000266269789208198,0.28591876488358,0.048,0.024,1,"LEC__preLEC"
"thsd1.1",0.000267371759854998,0.427090905929117,0.055,0.028,1,"LEC__preLEC"
"ccni",0.000267524426637603,-0.355374805821824,0.647,0.598,1,"LEC__preLEC"
"tpd52l2b",0.00026758650695983,-0.0325806462738577,0.393,0.285,1,"LEC__preLEC"
"fas",0.000268948334275846,2.0920113600173,0.015,0.003,1,"LEC__preLEC"
"tmed10",0.000269354630795509,0.0489362781510192,0.505,0.375,1,"LEC__preLEC"
"yme1l1a",0.000269616981371048,0.271905081496659,0.048,0.024,1,"LEC__preLEC"
"dcun1d1",0.000270612683767482,-0.039316057220935,0.104,0.063,1,"LEC__preLEC"
"slc44a2",0.000273030792768438,0.0329627649550454,0.191,0.131,1,"LEC__preLEC"
"pdss1",0.00027372426009072,0.18672426566006,0.088,0.053,1,"LEC__preLEC"
"eif4ba",0.000274010014571504,0.005923607479699,0.21,0.145,1,"LEC__preLEC"
"arhgap29b",0.000274316166456872,0.0331075544444901,0.167,0.112,1,"LEC__preLEC"
"epha7",0.000274731331654705,0.623176304837479,0.038,0.017,1,"LEC__preLEC"
"spoplb",0.000275239339565037,0.0292049330585107,0.134,0.087,1,"LEC__preLEC"
"utp23",0.000276283581393179,-0.000956611093685833,0.124,0.079,1,"LEC__preLEC"
"tomm70a",0.00027644720607221,-0.00765099931952057,0.297,0.212,1,"LEC__preLEC"
"lypla2",0.000276800210839874,0.139715976418552,0.144,0.096,1,"LEC__preLEC"
"abca1b",0.00027728722902934,0.510448297116215,0.075,0.044,1,"LEC__preLEC"
"atp5if1a",0.000278069047949083,0.0859809821531137,0.618,0.49,1,"LEC__preLEC"
"si:dkey-79d12.5",0.00027846978474224,0.585138469491293,0.038,0.017,1,"LEC__preLEC"
"cfap298",0.00027979622900788,0.145706138846548,0.069,0.039,1,"LEC__preLEC"
"bag6",0.000279993056386242,0.293587095381813,0.084,0.05,1,"LEC__preLEC"
"tnfaip1",0.00028132131820269,0.192927583127526,0.071,0.04,1,"LEC__preLEC"
"si:ch211-126i22.5",0.000281330428039867,0.208524424469589,0.074,0.042,1,"LEC__preLEC"
"cox17",0.000284077915713394,0.173785336463328,0.126,0.082,1,"LEC__preLEC"
"mgst3a",0.000286587229143577,-0.0255312707522575,0.382,0.275,1,"LEC__preLEC"
"dguok",0.000286956161153303,0.637359237604325,0.038,0.017,1,"LEC__preLEC"
"znf1001.1",0.00028746405692064,0.882428277442849,0.025,0.009,1,"LEC__preLEC"
"cldn5a",0.000287785915050497,0.0920585562614386,0.307,0.227,1,"LEC__preLEC"
"mylipa",0.00028893517329191,0.24951310171372,0.089,0.053,1,"LEC__preLEC"
"clic1",0.000290041452434857,0.0170106030283557,0.392,0.285,1,"LEC__preLEC"
"dspa",0.000290049254980568,-0.0157674779662284,0.228,0.16,1,"LEC__preLEC"
"cxxc1a",0.000291194201477455,-0.0211676514209794,0.221,0.153,1,"LEC__preLEC"
"wasla",0.000292075499549817,-0.0524508270977477,0.282,0.198,1,"LEC__preLEC"
"cactin",0.000292390668095757,0.0382765644942615,0.134,0.087,1,"LEC__preLEC"
"efna1a",0.000293412311863815,0.0164717014483352,0.27,0.194,1,"LEC__preLEC"
"exd2",0.000293698670585601,0.345550614230016,0.058,0.031,1,"LEC__preLEC"
"snap29",0.000293983834580695,0.028974164528734,0.113,0.071,1,"LEC__preLEC"
