Wnt_genes 
LOC100149082
zgc:153713
rac1
prkcb1
zgc:172124
gsk3b
APC
wnt3l
fzd3
LOC100149273
csnk1da
ccnd1
ldlr
LOC557123
wnt7a
wnt11r
wnt1
LOC100149498
jun
FZD10
ppp2r5c
wnt5b
ctnnb1
wnt2b
prkce
wnt2bb
LOC100003514
pafah1b1b
dvl2
DKEY-31M21.2
wnt5a
FZD1
wnt16
zgc:65879
ppp2r5eb
wnt3
axin1
wnt10b
PRKCQ
fzd8c
wnt7bb
LOC560032
prkci
wnt10a
fosl1
mapk10
prkcz
zgc:162280
FZD9
fbxw2
PRKCD
TCF-1/LEF
wnt16
fzd2
