"score",".y.","p","p.adj","p.format","p.signif","method","L3_celltype","group1","group2","sig_sign"
"EMBO_transient_score","score",0.247341251265278,0.74,"0.247","ns","Wilcoxon","mVEC","yap1_mutant","wildtype","ns"
"EMBO_transient_score","score",0.121089440086253,0.48,"0.121","ns","Wilcoxon","preLEC","yap1_mutant","wildtype","ns"
"EMBO_transient_score","score",0.980227967457725,0.98,"0.980","ns","Wilcoxon","LEC","yap1_mutant","wildtype","ns"
"EMBO_transient_score","score",0.0185437466908444,0.093,"0.019","*","Wilcoxon","hmVEC","yap1_mutant","wildtype","ns"
"EMBO_transient_score","score",0.251619346786397,0.74,"0.252","ns","Wilcoxon","cVEC","yap1_mutant","wildtype","ns"
"EMBO_dev_transient_score","score",3.96310396394282e-15,4e-15,"4e-15","****","Kruskal-Wallis",NA,NA,NA,NA
"EMBO_dev_transient_score","score",0.00496814838878854,0.015,"0.0050","**","Wilcoxon","mVEC","yap1_mutant","wildtype","*"
"EMBO_dev_transient_score","score",0.000199226763014143,8e-04,"0.0002","***","Wilcoxon","preLEC","yap1_mutant","wildtype","***"
"EMBO_dev_transient_score","score",0.321930725961091,0.64,"0.3219","ns","Wilcoxon","LEC","yap1_mutant","wildtype","ns"
"EMBO_dev_transient_score","score",2.47999014993901e-07,1.2e-06,"2.5e-07","****","Wilcoxon","hmVEC","yap1_mutant","wildtype","****"
"EMBO_dev_transient_score","score",0.669640290871087,0.67,"0.6696","ns","Wilcoxon","cVEC","yap1_mutant","wildtype","ns"
