"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"fbln2",0.0381682381054535,0.118344469138515,0.173,0.122,1,"hmVEC"
"llph",0.0381758003332311,0.047328273684293,0.109,0.07,1,"hmVEC"
"paxbp1",0.0382125427339472,-0.0998991042895139,0.161,0.109,1,"hmVEC"
"ano6",0.0382806216071243,0.284228040427757,0.095,0.06,1,"hmVEC"
"ccdc88c",0.0382998199614697,0.262790138998056,0.079,0.048,1,"hmVEC"
"prpf19",0.0383622334344812,0.00102538824617349,0.196,0.136,1,"hmVEC"
"gid8a",0.0383803961688562,0.122260032983978,0.038,0.018,1,"hmVEC"
"thumpd2",0.0383820625180112,1.27327298210639,0.018,0.006,1,"hmVEC"
"dnaja3b",0.0383820625180112,1.301003273466,0.018,0.006,1,"hmVEC"
"ercc6l2",0.0384697957651625,1.07106067127375,0.018,0.006,1,"hmVEC"
"sptlc3",0.0384697957651625,1.57403076866946,0.018,0.006,1,"hmVEC"
"brca2",0.0384697957651625,1.55137769347626,0.018,0.006,1,"hmVEC"
"mob1bb",0.0384697957651625,1.22782894348769,0.018,0.006,1,"hmVEC"
"qrfpr4",0.0384697957651625,0.86840229075677,0.018,0.006,1,"hmVEC"
"sap130b",0.0384833879387735,0.193080404094456,0.046,0.024,1,"hmVEC"
"dldh",0.0385285529227568,-0.0160735002576826,0.272,0.194,1,"hmVEC"
"dnmt1",0.038556080324999,-0.00133213255769515,0.095,0.06,1,"hmVEC"
"rab32a",0.0385576994042361,1.13638823144218,0.018,0.006,1,"hmVEC"
"uck1",0.0385576994042361,1.19800283460036,0.018,0.006,1,"hmVEC"
"sec22a",0.0385901104680758,-0.174153958204654,0.089,0.055,1,"hmVEC"
"nsmce2",0.0385934956799869,0.360914837610927,0.071,0.042,1,"hmVEC"
"nrxn1a",0.038645773688765,0.68163943219515,0.018,0.006,1,"hmVEC"
"pbx2",0.0386615300920216,-0.00613552647881321,0.121,0.08,1,"hmVEC"
"eif4eb",0.0386944039531439,0.252610524262365,0.119,0.08,1,"hmVEC"
"si:ch73-1a9.3",0.0386979346245213,0.041071522528866,0.994,0.987,1,"hmVEC"
"dbn1",0.0387149579841126,-0.110774189645955,0.179,0.123,1,"hmVEC"
"ergic3",0.0387158808178089,0.0468172271183063,0.089,0.055,1,"hmVEC"
"fbxl14b",0.0387285264997002,0.0439437357863008,0.101,0.065,1,"hmVEC"
"smim15",0.0387479487117305,0.0252623471942728,0.488,0.356,1,"hmVEC"
"gng12a",0.03878093588624,-0.030316358168192,0.161,0.111,1,"hmVEC"
"arpin",0.0388659925918123,-0.0813204578689923,0.113,0.073,1,"hmVEC"
"gab1",0.0388909155258128,0.0238271240191252,0.19,0.132,1,"hmVEC"
"cox7c",0.0389296185237498,0.0862306144333314,0.685,0.534,1,"hmVEC"
"ddx27",0.0389330773055328,0.317728610043879,0.101,0.066,1,"hmVEC"
"nsfb",0.0389906455498143,-0.18894314936963,0.085,0.052,1,"hmVEC"
"otofa",0.0389997823588095,0.9818332822399,0.018,0.006,1,"hmVEC"
"sult1st9",0.0389997823588095,1.14364832876351,0.018,0.006,1,"hmVEC"
"cox8a",0.039072888296206,0.106665273640348,0.746,0.627,1,"hmVEC"
"map2k2b",0.0390887136803206,0.948495313113335,0.018,0.006,1,"hmVEC"
"abraxas2",0.0391957427458623,0.0269410671491119,0.048,0.025,1,"hmVEC"
"fzr1a",0.0391989577995233,-0.0111007337043634,0.149,0.101,1,"hmVEC"
"zgc:161969",0.0392053204820428,0.0226137936806938,0.125,0.083,1,"hmVEC"
"pitx2",0.0392670930902385,1.02935920975712,0.018,0.006,1,"hmVEC"
"myo9ab",0.0393148280051339,-2.25377222215521,0.01,0.027,1,"hmVEC"
"magi1b",0.0393234641503986,-0.116892269146349,0.137,0.091,1,"hmVEC"
"emg1",0.0393533286135525,0.08473671698248,0.083,0.05,1,"hmVEC"
"lcp1",0.0393565416885765,0.064174839632746,0.018,0.006,1,"hmVEC"
"lats1",0.0393565416885765,0.848739191122799,0.018,0.006,1,"hmVEC"
